product_a,product_b,bucket_start,count,wow_change,z_score
enalapril,sacubitril_valsartan,2021-12-27 00:00:00+00:00,6.0,,
enalapril,sacubitril_valsartan,2022-01-03 00:00:00+00:00,2.0,-0.6666666666666666,
enalapril,sacubitril_valsartan,2022-01-10 00:00:00+00:00,3.0,0.5,
enalapril,sacubitril_valsartan,2022-01-17 00:00:00+00:00,3.0,0.0,
enalapril,sacubitril_valsartan,2022-01-24 00:00:00+00:00,2.0,-0.3333333333333333,-1.0
enalapril,sacubitril_valsartan,2022-01-31 00:00:00+00:00,2.0,0.0,-1.0
enalapril,sacubitril_valsartan,2022-02-07 00:00:00+00:00,1.0,-0.5,-3.0
enalapril,sacubitril_valsartan,2022-02-14 00:00:00+00:00,1.0,0.0,-1.414213562373095
enalapril,sacubitril_valsartan,2022-02-21 00:00:00+00:00,1.0,0.0,-1.0
enalapril,sacubitril_valsartan,2022-02-28 00:00:00+00:00,3.0,2.0,4.041451884327381
enalapril,sacubitril_valsartan,2022-03-07 00:00:00+00:00,4.0,0.3333333333333333,2.886751345948129
enalapril,sacubitril_valsartan,2022-03-14 00:00:00+00:00,1.0,-0.75,-0.9622504486493763
enalapril,sacubitril_valsartan,2022-03-21 00:00:00+00:00,1.0,0.0,-0.9622504486493763
enalapril,sacubitril_valsartan,2022-04-04 00:00:00+00:00,2.0,1.0,-0.19245008972987526
enalapril,sacubitril_valsartan,2022-04-11 00:00:00+00:00,3.0,0.5,0.8164965809277261
enalapril,sacubitril_valsartan,2022-04-18 00:00:00+00:00,1.0,-0.6666666666666666,-0.9045340337332909
enalapril,sacubitril_valsartan,2022-04-25 00:00:00+00:00,1.0,0.0,-0.9045340337332909
enalapril,sacubitril_valsartan,2022-05-02 00:00:00+00:00,3.0,2.0,1.507556722888818
enalapril,sacubitril_valsartan,2022-05-16 00:00:00+00:00,1.0,-0.6666666666666666,-1.0
enalapril,sacubitril_valsartan,2022-05-30 00:00:00+00:00,3.0,2.0,1.7320508075688774
enalapril,sacubitril_valsartan,2022-06-06 00:00:00+00:00,1.0,-0.6666666666666666,-1.0
enalapril,sacubitril_valsartan,2022-06-13 00:00:00+00:00,4.0,3.0,2.0
enalapril,sacubitril_valsartan,2022-06-20 00:00:00+00:00,1.0,-0.75,-0.9622504486493763
enalapril,sacubitril_valsartan,2022-06-27 00:00:00+00:00,3.0,2.0,0.5773502691896257
enalapril,sacubitril_valsartan,2022-07-18 00:00:00+00:00,1.0,-0.6666666666666666,-0.9622504486493763
enalapril,sacubitril_valsartan,2022-07-25 00:00:00+00:00,1.0,0.0,-0.9622504486493763
enalapril,sacubitril_valsartan,2022-08-01 00:00:00+00:00,5.0,4.0,4.041451884327381
enalapril,sacubitril_valsartan,2022-08-15 00:00:00+00:00,3.0,-0.4,0.30151134457776363
enalapril,sacubitril_valsartan,2022-08-22 00:00:00+00:00,1.0,-0.6666666666666666,-0.9045340337332909
enalapril,sacubitril_valsartan,2022-09-05 00:00:00+00:00,4.0,3.0,0.9045340337332909
enalapril,sacubitril_valsartan,2022-09-12 00:00:00+00:00,2.0,-0.5,-0.8451542547285166
enalapril,sacubitril_valsartan,2022-09-19 00:00:00+00:00,1.0,-0.5,-1.3416407864998738
enalapril,sacubitril_valsartan,2022-09-26 00:00:00+00:00,2.0,1.0,0.0
enalapril,sacubitril_valsartan,2022-10-10 00:00:00+00:00,2.0,0.0,-0.22941573387056174
enalapril,sacubitril_valsartan,2022-10-17 00:00:00+00:00,2.0,0.0,0.5773502691896258
enalapril,sacubitril_valsartan,2022-10-24 00:00:00+00:00,1.0,-0.5,-1.7320508075688774
enalapril,sacubitril_valsartan,2022-10-31 00:00:00+00:00,3.0,2.0,2.886751345948129
enalapril,sacubitril_valsartan,2022-11-07 00:00:00+00:00,2.0,-0.3333333333333333,0.0
enalapril,sacubitril_valsartan,2022-11-14 00:00:00+00:00,1.0,-0.5,-1.414213562373095
enalapril,sacubitril_valsartan,2022-11-21 00:00:00+00:00,1.0,0.0,-0.9045340337332909
enalapril,sacubitril_valsartan,2022-11-28 00:00:00+00:00,1.0,0.0,-0.9045340337332909
enalapril,sacubitril_valsartan,2022-12-05 00:00:00+00:00,3.0,2.0,4.041451884327381
enalapril,sacubitril_valsartan,2022-12-12 00:00:00+00:00,2.0,-0.3333333333333333,0.5773502691896258
enalapril,sacubitril_valsartan,2022-12-19 00:00:00+00:00,1.0,-0.5,-0.9045340337332909
enalapril,sacubitril_valsartan,2022-12-26 00:00:00+00:00,3.0,2.0,1.507556722888818
enalapril,sacubitril_valsartan,2023-01-02 00:00:00+00:00,4.0,0.3333333333333333,2.1105794120443453
enalapril,sacubitril_valsartan,2023-01-09 00:00:00+00:00,1.0,-0.75,-1.3416407864998738
enalapril,sacubitril_valsartan,2023-01-23 00:00:00+00:00,3.0,2.0,0.5773502691896257
enalapril,sacubitril_valsartan,2023-01-30 00:00:00+00:00,1.0,-0.6666666666666666,-1.6059101370939322
enalapril,sacubitril_valsartan,2023-02-06 00:00:00+00:00,1.0,0.0,-0.9622504486493763
enalapril,sacubitril_valsartan,2023-02-13 00:00:00+00:00,1.0,0.0,-0.5773502691896258
enalapril,sacubitril_valsartan,2023-02-20 00:00:00+00:00,1.0,0.0,-0.5773502691896258
enalapril,sacubitril_valsartan,2023-02-27 00:00:00+00:00,2.0,1.0,
enalapril,sacubitril_valsartan,2023-03-06 00:00:00+00:00,1.0,-0.5,-0.5773502691896258
enalapril,sacubitril_valsartan,2023-03-13 00:00:00+00:00,1.0,0.0,-0.5773502691896258
enalapril,sacubitril_valsartan,2023-03-20 00:00:00+00:00,2.0,1.0,1.7320508075688774
enalapril,sacubitril_valsartan,2023-03-27 00:00:00+00:00,2.0,0.0,1.0
enalapril,sacubitril_valsartan,2023-04-03 00:00:00+00:00,2.0,0.0,1.0
enalapril,sacubitril_valsartan,2023-04-10 00:00:00+00:00,2.0,0.0,0.5773502691896258
enalapril,sacubitril_valsartan,2023-04-17 00:00:00+00:00,1.0,-0.5,
enalapril,sacubitril_valsartan,2023-04-24 00:00:00+00:00,3.0,2.0,2.886751345948129
enalapril,sacubitril_valsartan,2023-05-01 00:00:00+00:00,3.0,0.0,1.414213562373095
enalapril,sacubitril_valsartan,2023-05-08 00:00:00+00:00,3.0,0.0,0.9045340337332909
enalapril,sacubitril_valsartan,2023-05-15 00:00:00+00:00,2.0,-0.3333333333333333,-0.5773502691896258
enalapril,sacubitril_valsartan,2023-05-29 00:00:00+00:00,1.0,-0.5,-4.041451884327381
enalapril,sacubitril_valsartan,2023-06-05 00:00:00+00:00,2.0,1.0,-0.30151134457776363
enalapril,sacubitril_valsartan,2023-06-12 00:00:00+00:00,1.0,-0.5,-1.414213562373095
enalapril,sacubitril_valsartan,2023-06-19 00:00:00+00:00,2.0,1.0,1.0
