narrative_type,narrative_subtype,bucket_start,count,wow_change,z_score
access,coverage_access,2023-04-01 00:00:00+00:00,2.0,,
access,coverage_access,2023-08-01 00:00:00+00:00,1.0,-0.5,
access,coverage_access,2024-12-01 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-01-01 00:00:00+00:00,2.0,,
comparative,comparative_efficacy,2022-02-01 00:00:00+00:00,3.0,0.5,
comparative,comparative_efficacy,2022-03-01 00:00:00+00:00,4.0,0.3333333333333333,
comparative,comparative_efficacy,2022-04-01 00:00:00+00:00,1.0,-0.75,
comparative,comparative_efficacy,2022-05-01 00:00:00+00:00,1.0,0.0,-1.3416407864998738
comparative,comparative_efficacy,2022-06-01 00:00:00+00:00,2.0,1.0,-0.19245008972987526
comparative,comparative_efficacy,2022-08-01 00:00:00+00:00,1.0,-0.5,-0.8164965809277261
comparative,comparative_efficacy,2022-10-01 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2022-11-01 00:00:00+00:00,4.0,3.0,6.3508529610858835
comparative,comparative_efficacy,2022-12-01 00:00:00+00:00,2.0,-0.5,0.0
comparative,comparative_efficacy,2023-01-01 00:00:00+00:00,5.0,1.5,2.4494897427831783
comparative,comparative_efficacy,2023-02-01 00:00:00+00:00,1.0,-0.8,-1.2649110640673518
comparative,comparative_efficacy,2023-03-01 00:00:00+00:00,2.0,1.0,-0.6324555320336759
comparative,comparative_efficacy,2023-04-01 00:00:00+00:00,4.0,1.0,1.0
comparative,comparative_efficacy,2023-05-01 00:00:00+00:00,1.0,-0.75,-1.2649110640673518
comparative,comparative_efficacy,2023-06-01 00:00:00+00:00,3.0,2.0,0.8164965809277261
comparative,comparative_efficacy,2023-08-01 00:00:00+00:00,1.0,-0.6666666666666666,-1.3416407864998738
comparative,comparative_efficacy,2023-09-01 00:00:00+00:00,1.0,0.0,-0.9622504486493763
comparative,comparative_efficacy,2023-11-01 00:00:00+00:00,3.0,2.0,1.7320508075688774
comparative,comparative_efficacy,2024-01-01 00:00:00+00:00,1.0,-0.6666666666666666,-1.0
comparative,comparative_efficacy,2024-03-01 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2024-04-01 00:00:00+00:00,2.0,1.0,0.5773502691896258
comparative,comparative_efficacy,2024-05-01 00:00:00+00:00,2.0,0.0,0.30151134457776363
comparative,comparative_efficacy,2024-08-01 00:00:00+00:00,1.0,-0.5,-1.0
comparative,comparative_efficacy,2024-09-01 00:00:00+00:00,4.0,3.0,5.0
comparative,comparative_efficacy,2024-10-01 00:00:00+00:00,1.0,-0.75,-1.1470786693528088
comparative,comparative_efficacy,2025-01-01 00:00:00+00:00,4.0,3.0,1.6329931618554523
comparative,comparative_efficacy,2025-02-01 00:00:00+00:00,2.0,-0.5,-0.3333333333333333
comparative,comparative_efficacy,2025-04-01 00:00:00+00:00,1.0,-0.5,-1.3471506281091268
comparative,comparative_efficacy,2025-05-01 00:00:00+00:00,2.0,1.0,0.0
comparative,comparative_efficacy,2025-07-01 00:00:00+00:00,1.0,-0.5,-1.1470786693528088
comparative,comparative_efficacy,2025-08-01 00:00:00+00:00,3.0,2.0,3.0
comparative,comparative_efficacy,2025-09-01 00:00:00+00:00,6.0,1.0,5.125692857821981
comparative,comparative_efficacy,2025-11-01 00:00:00+00:00,2.0,-0.6666666666666666,-0.5345224838248488
comparative,comparative_efficacy,2026-01-01 00:00:00+00:00,2.0,0.0,-0.5345224838248488
comparative,comparative_safety,2022-01-01 00:00:00+00:00,1.0,,
comparative,comparative_safety,2023-11-01 00:00:00+00:00,3.0,2.0,
comparative,comparative_safety,2024-08-01 00:00:00+00:00,1.0,-0.6666666666666666,
comparative,comparative_safety,2024-09-01 00:00:00+00:00,3.0,2.0,
comparative,comparative_safety,2025-01-01 00:00:00+00:00,1.0,-0.6666666666666666,-1.0
comparative,comparative_safety,2025-09-01 00:00:00+00:00,2.0,1.0,0.0
evidence,clinical_context,2022-05-01 00:00:00+00:00,1.0,,
evidence,clinical_context,2022-11-01 00:00:00+00:00,1.0,0.0,
evidence,clinical_context,2025-06-01 00:00:00+00:00,1.0,0.0,
evidence,clinical_trial,2022-05-01 00:00:00+00:00,1.0,,
evidence,clinical_trial,2023-04-01 00:00:00+00:00,3.0,2.0,
evidence,clinical_trial,2024-03-01 00:00:00+00:00,1.0,-0.6666666666666666,
evidence,clinical_trial,2024-08-01 00:00:00+00:00,1.0,0.0,
evidence,clinical_trial,2024-09-01 00:00:00+00:00,1.0,0.0,-0.5773502691896258
evidence,clinical_trial,2025-04-01 00:00:00+00:00,1.0,0.0,-0.5773502691896258
evidence,evidence_review,2023-11-01 00:00:00+00:00,1.0,,
evidence,real_world,2022-03-01 00:00:00+00:00,1.0,,
evidence,real_world,2022-05-01 00:00:00+00:00,1.0,0.0,
evidence,real_world,2022-06-01 00:00:00+00:00,1.0,0.0,
evidence,real_world,2022-12-01 00:00:00+00:00,2.0,1.0,
evidence,real_world,2023-02-01 00:00:00+00:00,2.0,0.0,1.7320508075688774
evidence,real_world,2023-06-01 00:00:00+00:00,1.0,-0.5,-1.0
evidence,real_world,2023-09-01 00:00:00+00:00,1.0,0.0,-1.0
evidence,real_world,2023-10-01 00:00:00+00:00,1.0,0.0,-1.0
evidence,real_world,2023-11-01 00:00:00+00:00,1.0,0.0,-0.5773502691896258
evidence,real_world,2024-02-01 00:00:00+00:00,1.0,0.0,
evidence,real_world,2024-05-01 00:00:00+00:00,1.0,0.0,
evidence,real_world,2024-07-01 00:00:00+00:00,1.0,0.0,
evidence,real_world,2024-08-01 00:00:00+00:00,2.0,1.0,
evidence,real_world,2024-11-01 00:00:00+00:00,1.0,-0.5,-0.5773502691896258
evidence,real_world,2025-01-01 00:00:00+00:00,1.0,0.0,-0.5773502691896258
evidence,real_world,2025-02-01 00:00:00+00:00,4.0,3.0,6.3508529610858835
evidence,real_world,2025-03-01 00:00:00+00:00,4.0,0.0,1.6329931618554523
evidence,real_world,2025-04-01 00:00:00+00:00,1.0,-0.75,-1.0
evidence,real_world,2025-05-01 00:00:00+00:00,4.0,3.0,1.0
evidence,real_world,2025-06-01 00:00:00+00:00,1.0,-0.75,-1.7320508075688772
evidence,real_world,2025-08-01 00:00:00+00:00,3.0,2.0,0.3333333333333333
evidence,real_world,2025-09-01 00:00:00+00:00,1.0,-0.6666666666666666,-0.9622504486493763
evidence,real_world,2025-11-01 00:00:00+00:00,3.0,2.0,0.5773502691896257
positioning,combination,2023-11-01 00:00:00+00:00,1.0,,
positioning,combination,2024-05-01 00:00:00+00:00,1.0,0.0,
positioning,combination,2024-08-01 00:00:00+00:00,1.0,0.0,
positioning,combination,2025-09-01 00:00:00+00:00,2.0,1.0,
positioning,line_of_therapy,2022-06-01 00:00:00+00:00,1.0,,
positioning,line_of_therapy,2024-01-01 00:00:00+00:00,1.0,0.0,
