narrative_type,narrative_subtype,bucket_start,count,wow_change,z_score
access,coverage_access,2023-04-24 00:00:00+00:00,2.0,,
access,coverage_access,2023-08-28 00:00:00+00:00,1.0,-0.5,
access,coverage_access,2024-11-25 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-01-17 00:00:00+00:00,1.0,,
comparative,comparative_efficacy,2022-01-24 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-01-31 00:00:00+00:00,3.0,2.0,
comparative,comparative_efficacy,2022-03-07 00:00:00+00:00,3.0,0.0,
comparative,comparative_efficacy,2022-03-21 00:00:00+00:00,1.0,-0.6666666666666666,-1.0
comparative,comparative_efficacy,2022-04-25 00:00:00+00:00,1.0,0.0,-1.0
comparative,comparative_efficacy,2022-05-02 00:00:00+00:00,1.0,0.0,-1.0
comparative,comparative_efficacy,2022-06-13 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2022-06-27 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-08-01 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-10-10 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-10-31 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-11-07 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-11-28 00:00:00+00:00,2.0,1.0,
comparative,comparative_efficacy,2022-12-05 00:00:00+00:00,2.0,0.0,1.7320508075688774
comparative,comparative_efficacy,2023-01-02 00:00:00+00:00,2.0,0.0,1.0
comparative,comparative_efficacy,2023-01-23 00:00:00+00:00,3.0,0.5,2.886751345948129
comparative,comparative_efficacy,2023-02-13 00:00:00+00:00,1.0,-0.6666666666666666,-2.886751345948129
comparative,comparative_efficacy,2023-03-06 00:00:00+00:00,1.0,0.0,-1.414213562373095
comparative,comparative_efficacy,2023-03-13 00:00:00+00:00,1.0,0.0,-0.9045340337332909
comparative,comparative_efficacy,2023-03-27 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2023-04-10 00:00:00+00:00,3.0,2.0,
comparative,comparative_efficacy,2023-05-15 00:00:00+00:00,1.0,-0.6666666666666666,-0.5773502691896258
comparative,comparative_efficacy,2023-05-29 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2023-06-05 00:00:00+00:00,2.0,1.0,0.5773502691896258
comparative,comparative_efficacy,2023-08-21 00:00:00+00:00,1.0,-0.5,-0.9045340337332909
comparative,comparative_efficacy,2023-09-11 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2023-11-20 00:00:00+00:00,3.0,2.0,4.041451884327381
comparative,comparative_efficacy,2024-01-01 00:00:00+00:00,1.0,-0.6666666666666666,-0.9045340337332909
comparative,comparative_efficacy,2024-02-26 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2024-04-01 00:00:00+00:00,2.0,1.0,0.5773502691896258
comparative,comparative_efficacy,2024-05-27 00:00:00+00:00,2.0,0.0,0.30151134457776363
comparative,comparative_efficacy,2024-07-29 00:00:00+00:00,1.0,-0.5,-1.0
comparative,comparative_efficacy,2024-09-02 00:00:00+00:00,2.0,1.0,1.0
comparative,comparative_efficacy,2024-09-23 00:00:00+00:00,2.0,0.0,0.5773502691896258
comparative,comparative_efficacy,2024-10-21 00:00:00+00:00,1.0,-0.5,-1.7320508075688774
comparative,comparative_efficacy,2024-12-30 00:00:00+00:00,2.0,1.0,1.0
comparative,comparative_efficacy,2025-01-27 00:00:00+00:00,2.0,0.0,0.5773502691896258
comparative,comparative_efficacy,2025-02-17 00:00:00+00:00,2.0,0.0,0.5773502691896258
comparative,comparative_efficacy,2025-04-21 00:00:00+00:00,1.0,-0.5,-1.7320508075688774
comparative,comparative_efficacy,2025-04-28 00:00:00+00:00,2.0,1.0,0.5773502691896258
comparative,comparative_efficacy,2025-07-21 00:00:00+00:00,1.0,-0.5,-1.7320508075688774
comparative,comparative_efficacy,2025-08-11 00:00:00+00:00,2.0,1.0,1.0
comparative,comparative_efficacy,2025-08-18 00:00:00+00:00,1.0,-0.5,-1.0
comparative,comparative_efficacy,2025-09-01 00:00:00+00:00,1.0,0.0,-1.0
comparative,comparative_efficacy,2025-09-08 00:00:00+00:00,3.0,2.0,4.041451884327381
comparative,comparative_efficacy,2025-09-22 00:00:00+00:00,2.0,-0.3333333333333333,0.30151134457776363
comparative,comparative_efficacy,2025-11-17 00:00:00+00:00,2.0,0.0,0.30151134457776363
comparative,comparative_efficacy,2025-12-29 00:00:00+00:00,2.0,0.0,0.0
comparative,comparative_safety,2022-01-17 00:00:00+00:00,1.0,,
