doc_id,sentence_id,product_a,product_a_alias,product_b,product_b_alias,sentence_text,publication_date,journal,section,sent_index,count,recency_weight,study_type,study_type_weight,combined_weight,evidence_weight,labels,matched_terms,context_rule_hits,indications,direction_type,product_a_role,product_b_role,direction_triggers,narrative_type,narrative_subtype,narrative_confidence,sentiment_label,sentiment_score,sentiment_model,sentiment_inference_ts,confidence_breakdown
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:1,enalapril,enalapril,sacubitril_valsartan,ARNI,"In a large-scale randomized controlled study of heart failure (HF), angiotensin receptor-neprilysin inhibitors (ARNI) reduced cardiovascular events compared to enalapril, but resulted in more symptomatic hypotension.",2026-01-08,,abstract,1,1,1.0,other,1.0,1.0,1.0,"['compared to', 'randomized']","{""comparative_terms"": [""compared to""], ""study_context"": [""randomized""]}","['comparative_terms', 'study_context']",[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:4,enalapril,angiotensin converting enzyme inhibitors,sacubitril_valsartan,ARNI,"Among 166 patients treated with newly prescribed renin-angiotensin system inhibitor (75.7 ± 13.4 years, 57.2% men, and ejection fraction 39 ± 17%), 114 were treated with newly prescribed ARNI (ARNI group) and 52 were treated with newly prescribed angiotensin converting enzyme inhibitors or angiotensin receptor blockers but without ARNI (ACEi/ARB group).",2026-01-08,,abstract,4,1,1.0,other,1.0,1.0,1.0,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:5,enalapril,ACEi,sacubitril_valsartan,ARNI,The initial day of prescription was day 4 [2-6] for the ARNI group and day 3 [1-6] for the ACEi/ARB group.,2026-01-08,,abstract,5,1,1.0,other,1.0,1.0,1.0,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:6,enalapril,ACEi,sacubitril_valsartan,ARNI,"Three days after the initiation of each drug, systolic BP dropped from 132 ± 24 to 117 ± 19 mmHg (ARNI group, p < 0.001) and 131 ± 19 to 117 ± 21 mmHg (ACEi/ARB group, p < 0.001).",2026-01-08,,abstract,6,1,1.0,other,1.0,1.0,1.0,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:9,enalapril,ACEi,sacubitril_valsartan,ARNI,Early changes in BP after ARNI initiation were comparable with those in the ACEi/ARB group.,2026-01-08,,abstract,9,1,1.0,other,1.0,1.0,1.0,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41335448,med:pmid:41335448:sec:conclusion:sent:13,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"In patients with HF with reduced ejection fraction due to Chagas disease, there was no significant difference in clinical outcomes between sacubitril/valsartan and enalapril, but there was a greater reduction in NT-proBNP at 12 weeks in patients in the sacubitril/valsartan group.",2026-01-01,,conclusion,13,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,['no significant difference'],"{""comparative_terms"": [""no significant difference""], ""claim_strength_terms"": {""suggestive"": [""greater reduction""]}}","['comparative_terms', 'claim_strength:suggestive']",[],,,,[],comparative,comparative_efficacy,0.6,POS,2.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:methods:sent:5,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"Patients were randomized to receive sacubitril/valsartan (target dose, 200 mg twice daily) or enalapril (target dose, 10 mg twice daily), in addition to standard therapy.",2026-01-01,,methods,5,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:results:sent:10,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,A total of 102 patients (22.1% [7.7% wins]) in the sacubitril/valsartan group and 111 (24.1% [6.9% wins]) in the enalapril group experienced a first hospitalization for HF.,2026-01-01,,results,10,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:results:sent:11,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"Patients in the sacubitril/valsartan group had a median (IQR) decrease in NT-proBNP of 30.6% (-54.3% to -0.9%) at 12 weeks, leading to 22.5% wins, while those in the enalapril group had a 5.5% (-31.9% to 37.5%) decrease (7.2% wins).",2026-01-01,,results,11,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:results:sent:12,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"The resulting stratified win ratio was 1.52 (95% CI, 1.28-1.82; P < .001) for sacubitril/valsartan compared with enalapril.",2026-01-01,,results,12,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,['compared with'],"{""comparative_terms"": [""compared with""]}",['comparative_terms'],[],,,,[],comparative,comparative_efficacy,0.6,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
