doc_id,sentence_id,product_a,product_b,count
med:pmid:40689605,med:pmid:40689605:sec:introduction:sent:3,enalapril,sacubitril_valsartan,1
med:pmid:40689605,med:pmid:40689605:sec:conclusion:sent:9,enalapril,sacubitril_valsartan,1
med:pmid:40101251,med:pmid:40101251:sec:results:sent:10,enalapril,sacubitril_valsartan,1
med:pmid:40101251,med:pmid:40101251:sec:results:sent:11,enalapril,sacubitril_valsartan,1
med:pmid:41455057,med:pmid:41455057:sec:abstract:sent:2,enalapril,sacubitril_valsartan,1
med:pmid:41408894,med:pmid:41408894:sec:results:sent:6,enalapril,sacubitril_valsartan,1
med:pmid:41408894,med:pmid:41408894:sec:results:sent:10,enalapril,sacubitril_valsartan,1
med:pmid:41408894,med:pmid:41408894:sec:results:sent:11,enalapril,sacubitril_valsartan,1
med:pmid:41379379,med:pmid:41379379:sec:abstract:sent:1,enalapril,sacubitril_valsartan,1
med:pmid:40910162,med:pmid:40910162:sec:results:sent:8,enalapril,sacubitril_valsartan,1
med:pmid:40105368,med:pmid:40105368:sec:methods:sent:5,enalapril,sacubitril_valsartan,1
med:pmid:39687932,med:pmid:39687932:sec:results:sent:8,enalapril,sacubitril_valsartan,1
med:pmid:41377094,med:pmid:41377094:sec:results:sent:8,enalapril,sacubitril_valsartan,1
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:9,enalapril,sacubitril_valsartan,1
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:10,enalapril,sacubitril_valsartan,1
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:11,enalapril,sacubitril_valsartan,1
med:pmid:41296625,med:pmid:41296625:sec:results:sent:5,enalapril,sacubitril_valsartan,1
med:pmid:41296625,med:pmid:41296625:sec:results:sent:6,enalapril,sacubitril_valsartan,1
med:pmid:41296625,med:pmid:41296625:sec:results:sent:7,enalapril,sacubitril_valsartan,1
med:pmid:41296625,med:pmid:41296625:sec:conclusion:sent:10,enalapril,sacubitril_valsartan,1
med:pmid:41296625,med:pmid:41296625:sec:conclusion:sent:11,enalapril,sacubitril_valsartan,1
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:5,enalapril,sacubitril_valsartan,1
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:9,enalapril,sacubitril_valsartan,1
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:14,enalapril,sacubitril_valsartan,1
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:15,enalapril,sacubitril_valsartan,1
med:pmid:41249923,med:pmid:41249923:sec:results:sent:12,enalapril,sacubitril_valsartan,1
med:pmid:41249923,med:pmid:41249923:sec:results:sent:14,enalapril,sacubitril_valsartan,1
med:pmid:41249923,med:pmid:41249923:sec:results:sent:16,enalapril,sacubitril_valsartan,1
