mention_id,doc_id,sentence_id,product_canonical,alias_matched,start_char,end_char,match_method
med:pmid:40689605:sec:introduction:sent:1:sacubitril_valsartan:46-50,med:pmid:40689605,med:pmid:40689605:sec:introduction:sent:1,sacubitril_valsartan,ARNI,46,50,regex
med:pmid:40689605:sec:introduction:sent:3:sacubitril_valsartan:29-33,med:pmid:40689605,med:pmid:40689605:sec:introduction:sent:3,sacubitril_valsartan,ARNI,29,33,regex
med:pmid:40689605:sec:introduction:sent:3:enalapril:83-88,med:pmid:40689605,med:pmid:40689605:sec:introduction:sent:3,enalapril,ACEIs,83,88,regex
med:pmid:40689605:sec:results:sent:7:sacubitril_valsartan:0-4,med:pmid:40689605,med:pmid:40689605:sec:results:sent:7,sacubitril_valsartan,ARNI,0,4,regex
med:pmid:40689605:sec:results:sent:8:sacubitril_valsartan:9-13,med:pmid:40689605,med:pmid:40689605:sec:results:sent:8,sacubitril_valsartan,ARNI,9,13,regex
med:pmid:40689605:sec:conclusion:sent:9:sacubitril_valsartan:14-18,med:pmid:40689605,med:pmid:40689605:sec:conclusion:sent:9,sacubitril_valsartan,ARNI,14,18,regex
med:pmid:40689605:sec:conclusion:sent:9:enalapril:67-72,med:pmid:40689605,med:pmid:40689605:sec:conclusion:sent:9,enalapril,ACEIs,67,72,regex
med:pmid:40101251:sec:results:sent:10:enalapril:242-246,med:pmid:40101251,med:pmid:40101251:sec:results:sent:10,enalapril,ACEI,242,246,regex
med:pmid:40101251:sec:results:sent:10:sacubitril_valsartan:251-255,med:pmid:40101251,med:pmid:40101251:sec:results:sent:10,sacubitril_valsartan,ARNI,251,255,regex
med:pmid:40101251:sec:results:sent:11:enalapril:146-150,med:pmid:40101251,med:pmid:40101251:sec:results:sent:11,enalapril,ACEI,146,150,regex
med:pmid:40101251:sec:results:sent:11:sacubitril_valsartan:155-159,med:pmid:40101251,med:pmid:40101251:sec:results:sent:11,sacubitril_valsartan,ARNI,155,159,regex
med:pmid:41455057:sec:abstract:sent:2:enalapril:68-108,med:pmid:41455057,med:pmid:41455057:sec:abstract:sent:2,enalapril,angiotensin converting enzyme inhibitors,68,108,regex
med:pmid:41455057:sec:abstract:sent:2:enalapril:110-114,med:pmid:41455057,med:pmid:41455057:sec:abstract:sent:2,enalapril,ACEi,110,114,regex
med:pmid:41455057:sec:abstract:sent:2:sacubitril_valsartan:168-210,med:pmid:41455057,med:pmid:41455057:sec:abstract:sent:2,sacubitril_valsartan,angiotensin receptor neprilysin inhibitors,168,210,regex
med:pmid:41455057:sec:abstract:sent:2:sacubitril_valsartan:212-216,med:pmid:41455057,med:pmid:41455057:sec:abstract:sent:2,sacubitril_valsartan,ARNi,212,216,regex
med:pmid:41408894:sec:results:sent:6:enalapril:117-121,med:pmid:41408894,med:pmid:41408894:sec:results:sent:6,enalapril,ACEi,117,121,regex
med:pmid:41408894:sec:results:sent:6:sacubitril_valsartan:215-219,med:pmid:41408894,med:pmid:41408894:sec:results:sent:6,sacubitril_valsartan,ARNI,215,219,regex
med:pmid:41408894:sec:results:sent:10:enalapril:48-52,med:pmid:41408894,med:pmid:41408894:sec:results:sent:10,enalapril,ACEi,48,52,regex
med:pmid:41408894:sec:results:sent:10:sacubitril_valsartan:65-69,med:pmid:41408894,med:pmid:41408894:sec:results:sent:10,sacubitril_valsartan,ARNI,65,69,regex
med:pmid:41408894:sec:results:sent:11:enalapril:54-58,med:pmid:41408894,med:pmid:41408894:sec:results:sent:11,enalapril,ACEi,54,58,regex
med:pmid:41408894:sec:results:sent:11:sacubitril_valsartan:71-75,med:pmid:41408894,med:pmid:41408894:sec:results:sent:11,sacubitril_valsartan,ARNI,71,75,regex
med:pmid:41379379:sec:abstract:sent:1:enalapril:255-260,med:pmid:41379379,med:pmid:41379379:sec:abstract:sent:1,enalapril,ACEIs,255,260,regex
med:pmid:41379379:sec:abstract:sent:1:sacubitril_valsartan:343-348,med:pmid:41379379,med:pmid:41379379:sec:abstract:sent:1,sacubitril_valsartan,ARNIs,343,348,regex
med:pmid:40910162:sec:results:sent:8:sacubitril_valsartan:69-73,med:pmid:40910162,med:pmid:40910162:sec:results:sent:8,sacubitril_valsartan,ARNi,69,73,regex
med:pmid:40910162:sec:results:sent:8:sacubitril_valsartan:230-234,med:pmid:40910162,med:pmid:40910162:sec:results:sent:8,sacubitril_valsartan,ARNi,230,234,regex
med:pmid:40910162:sec:results:sent:8:enalapril:318-331,med:pmid:40910162,med:pmid:40910162:sec:results:sent:8,enalapril,ACE inhibitor,318,331,regex
med:pmid:40910162:sec:results:sent:8:enalapril:379-392,med:pmid:40910162,med:pmid:40910162:sec:results:sent:8,enalapril,ACE inhibitor,379,392,regex
med:pmid:40910162:sec:results:sent:9:sacubitril_valsartan:152-156,med:pmid:40910162,med:pmid:40910162:sec:results:sent:9,sacubitril_valsartan,ARNi,152,156,regex
med:pmid:40910162:sec:conclusion:sent:10:sacubitril_valsartan:15-19,med:pmid:40910162,med:pmid:40910162:sec:conclusion:sent:10,sacubitril_valsartan,ARNi,15,19,regex
med:pmid:40910162:sec:conclusion:sent:10:sacubitril_valsartan:33-37,med:pmid:40910162,med:pmid:40910162:sec:conclusion:sent:10,sacubitril_valsartan,ARNi,33,37,regex
med:pmid:40105368:sec:methods:sent:5:enalapril:73-77,med:pmid:40105368,med:pmid:40105368:sec:methods:sent:5,enalapril,ACEi,73,77,regex
med:pmid:40105368:sec:methods:sent:5:sacubitril_valsartan:177-181,med:pmid:40105368,med:pmid:40105368:sec:methods:sent:5,sacubitril_valsartan,ARNI,177,181,regex
med:pmid:39687932:sec:results:sent:8:enalapril:101-105,med:pmid:39687932,med:pmid:39687932:sec:results:sent:8,enalapril,ACEI,101,105,regex
med:pmid:39687932:sec:results:sent:8:sacubitril_valsartan:110-114,med:pmid:39687932,med:pmid:39687932:sec:results:sent:8,sacubitril_valsartan,ARNI,110,114,regex
med:pmid:41377094:sec:results:sent:8:enalapril:144-148,med:pmid:41377094,med:pmid:41377094:sec:results:sent:8,enalapril,ACEi,144,148,regex
med:pmid:41377094:sec:results:sent:8:sacubitril_valsartan:153-157,med:pmid:41377094,med:pmid:41377094:sec:results:sent:8,sacubitril_valsartan,ARNI,153,157,regex
med:pmid:41303015:sec:introduction:sent:9:sacubitril_valsartan:76-80,med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:9,sacubitril_valsartan,ARNI,76,80,regex
med:pmid:41303015:sec:introduction:sent:9:enalapril:125-129,med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:9,enalapril,ACEI,125,129,regex
med:pmid:41303015:sec:introduction:sent:10:sacubitril_valsartan:0-4,med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:10,sacubitril_valsartan,ARNI,0,4,regex
med:pmid:41303015:sec:introduction:sent:10:enalapril:5-9,med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:10,enalapril,ACEI,5,9,regex
med:pmid:41303015:sec:introduction:sent:11:sacubitril_valsartan:94-98,med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:11,sacubitril_valsartan,ARNI,94,98,regex
med:pmid:41303015:sec:introduction:sent:11:enalapril:99-103,med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:11,enalapril,ACEI,99,103,regex
med:pmid:41296625:sec:introduction:sent:2:enalapril:113-117,med:pmid:41296625,med:pmid:41296625:sec:introduction:sent:2,enalapril,ACEi,113,117,regex
med:pmid:41296625:sec:results:sent:5:enalapril:60-64,med:pmid:41296625,med:pmid:41296625:sec:results:sent:5,enalapril,ACEi,60,64,regex
med:pmid:41296625:sec:results:sent:5:sacubitril_valsartan:69-73,med:pmid:41296625,med:pmid:41296625:sec:results:sent:5,sacubitril_valsartan,ARNI,69,73,regex
med:pmid:41296625:sec:results:sent:6:enalapril:124-128,med:pmid:41296625,med:pmid:41296625:sec:results:sent:6,enalapril,ACEi,124,128,regex
med:pmid:41296625:sec:results:sent:6:sacubitril_valsartan:133-137,med:pmid:41296625,med:pmid:41296625:sec:results:sent:6,sacubitril_valsartan,ARNI,133,137,regex
med:pmid:41296625:sec:results:sent:7:enalapril:58-62,med:pmid:41296625,med:pmid:41296625:sec:results:sent:7,enalapril,ACEi,58,62,regex
med:pmid:41296625:sec:results:sent:7:sacubitril_valsartan:67-71,med:pmid:41296625,med:pmid:41296625:sec:results:sent:7,sacubitril_valsartan,ARNI,67,71,regex
