doc_id,sentence_id,product_a,product_b,comparative_terms,relationship_types,risk_terms,study_context,matched_terms,context_rule_hits,direction_type,product_a_role,product_b_role,direction_triggers,narrative_type,narrative_subtype,narrative_confidence,claim_strength,risk_posture,section,narrative_invariant_ok,narrative_invariant_reason,sentiment_label,sentiment_score,sentiment_model,sentiment_inference_ts,created_at
med:pmid:41249923,med:pmid:41249923:sec:results:sent:12,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,evidence,real_world,0.49999999999999994,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41249923,med:pmid:41249923:sec:results:sent:14,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,comparative,comparative_efficacy,0.6000000000000001,,,results,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41249923,med:pmid:41249923:sec:results:sent:16,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,comparative,comparative_efficacy,0.6000000000000001,,,results,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:11,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""arni/acei/arb""]}","[""relationship:combination""]",,,,,,,,,,introduction,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:9,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,introduction,,,POS,4.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
med:pmid:41377094,med:pmid:41377094:sec:results:sent:8,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,evidence,real_world,0.49999999999999994,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
med:pmid:40839760,med:pmid:40839760:sec:results:sent:5,enalapril,sacubitril_valsartan,vs,,,,"{""comparative_terms"": [""vs""]}","[""comparative_terms""]",,,,,evidence,real_world,0.7,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:14,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,,,,,,abstract,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41151613,med:pmid:41151613:sec:abstract:sent:2,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,abstract,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41084891,med:pmid:41084891:sec:results:sent:9,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""arni/acei/arb"", ""gdmt""]}","[""relationship:combination""]",,,,,,,,,,results,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41079061,med:pmid:41079061:sec:results:sent:9,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""gdmt""]}","[""relationship:combination""]",,,,,,,,,,results,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41016569,med:pmid:41016569:sec:conclusion:sent:7,enalapril,sacubitril_valsartan,compared with,,,,"{""comparative_terms"": [""compared with""]}","[""comparative_terms""]",,,,,,,,,,conclusion,,,NEG,-1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41016569,med:pmid:41016569:sec:results:sent:4,enalapril,sacubitril_valsartan,versus,,,,"{""comparative_terms"": [""versus""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.6,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41079587,med:pmid:41079587:sec:conclusion:sent:13,enalapril,sacubitril_valsartan,vs,,risk,,"{""comparative_terms"": [""vs""], ""risk_terms"": [""risk""]}","[""comparative_terms"", ""risk_terms""]",,,,,comparative,comparative_safety,0.9,,,conclusion,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41079587,med:pmid:41079587:sec:introduction:sent:2,enalapril,sacubitril_valsartan,,,risk,,"{""risk_terms"": [""risk""]}","[""risk_terms""]",,,,,,,,,,introduction,,,NEG,-1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41079587,med:pmid:41079587:sec:results:sent:9,enalapril,sacubitril_valsartan,vs,,risk,,"{""comparative_terms"": [""vs""], ""risk_terms"": [""risk""]}","[""comparative_terms"", ""risk_terms""]",,,,,comparative,comparative_safety,0.9,,,results,1,,NEG,-1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41296625,med:pmid:41296625:sec:conclusion:sent:10,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,positioning,combination,0.85,,,conclusion,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41296625,med:pmid:41296625:sec:conclusion:sent:11,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,,,,,,conclusion,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41296625,med:pmid:41296625:sec:results:sent:5,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,,,,,,results,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41296625,med:pmid:41296625:sec:results:sent:6,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,positioning,combination,0.85,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41296625,med:pmid:41296625:sec:results:sent:7,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,comparative,comparative_efficacy,0.8,,,results,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
med:pmid:41007826,med:pmid:41007826:sec:introduction:sent:1,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,introduction,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41007826,med:pmid:41007826:sec:introduction:sent:15,enalapril,sacubitril_valsartan,,,,,"{""claim_strength_terms"": {""confirmatory"": [""significant improvement""]}}","[""claim_strength:confirmatory""]",,,,,,,,,,introduction,,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41007826,med:pmid:41007826:sec:introduction:sent:2,enalapril,sacubitril_valsartan,compared with,,,,"{""comparative_terms"": [""compared with""]}","[""comparative_terms""]",,,,,,,,,,introduction,,,POS,2.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41007826,med:pmid:41007826:sec:introduction:sent:5,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,introduction,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41007826,med:pmid:41007826:sec:title:sent:0,enalapril,sacubitril_valsartan,compared with,,,retrospective,"{""comparative_terms"": [""compared with""], ""study_context"": [""retrospective""], ""real_world_terms"": [""retrospective""]}","[""comparative_terms"", ""study_context"", ""real_world_terms""]",,,,,,,,,,title,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40916703,med:pmid:40916703:sec:introduction:sent:1,enalapril,sacubitril_valsartan,compared with,,,trial,"{""comparative_terms"": [""compared with""], ""study_context"": [""trial""]}","[""comparative_terms"", ""study_context""]",,,,,,,,,,introduction,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
ppr:doi:10.20944/preprints202509.0619.v1,ppr:doi:10.20944/preprints202509.0619.v1:sec:conclusion:sent:13,enalapril,sacubitril_valsartan,,,,,"{""claim_strength_terms"": {""confirmatory"": [""significant improvement""]}}","[""claim_strength:confirmatory""]",,,,,,,,confirmatory,,conclusion,,,POS,2.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
ppr:doi:10.20944/preprints202509.0619.v1,ppr:doi:10.20944/preprints202509.0619.v1:sec:introduction:sent:2,enalapril,sacubitril_valsartan,versus,,,,"{""comparative_terms"": [""versus""]}","[""comparative_terms""]",,,,,,,,,,introduction,,,POS,2.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
ppr:doi:10.20944/preprints202509.0619.v1,ppr:doi:10.20944/preprints202509.0619.v1:sec:methods:sent:4,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,methods,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
