sentence_id,doc_id,section,sent_index,text,start_char,end_char
med:pmid:40689605:sec:title:sent:0,med:pmid:40689605,title,0,Angiotensin-neprilysin inhibition in acute decompensated heart failure: a meta-analysis of randomized controlled trials.,0,120
med:pmid:40689605:sec:introduction:sent:1,med:pmid:40689605,introduction,1,Angiotensin receptor - neprilysin inhibitors (ARNI) are well-established for chronic heart failure (HF) with reduced ejection fraction.,0,155
med:pmid:40689605:sec:introduction:sent:2,med:pmid:40689605,introduction,2,"However, their efficacy and safety after stabilization of acute decompensation (ADHF) remain unclear.",156,257
med:pmid:40689605:sec:introduction:sent:3,med:pmid:40689605,introduction,3,This meta-analysis evaluates ARNI versus angiotensin-converting enzyme inhibitors (ACEIs) or angiotensin receptor blockers (ARBs) post-ADHF.,258,398
med:pmid:40689605:sec:methods:sent:4,med:pmid:40689605,methods,4,"Meta-analysis of randomized controlled trials (RCTs) from PubMed, Scopus, WOS, Embase, and CENTRAL up to November 2024.",399,535
med:pmid:40689605:sec:methods:sent:5,med:pmid:40689605,methods,5,Risk ratios (RR) and standardized mean differences (SMD) with 95% confidence intervals (CI) were used.,536,638
med:pmid:40689605:sec:results:sent:6,med:pmid:40689605,results,6,"Three RCTs (1,741 patients) were included.",639,698
med:pmid:40689605:sec:results:sent:7,med:pmid:40689605,results,7,"ARNI use after ADHF stabilization significantly reduced HF rehospitalization/all-cause mortality (RR: 0.71; 95% CI: 0.57-0.88; <i>p</i> < 0.01), HF rehospitalization (RR: 0.73; 95% CI: 0.57-0.93; <i>p</i> = 0.01), worsening renal function (RR: 0.80; 95% CI: 0.64-1.00; <i>p</i> = 0.048), and NT-proBNP at 4 weeks (SMD: -0.24; 95% CI: -0.34 to -0.14; <i>p</i> < 0.0001) and 8 weeks (SMD: -0.21; 95% CI: -0.31 to -0.10; <i>p</i> = 0.0001).",699,1136
med:pmid:40689605:sec:results:sent:8,med:pmid:40689605,results,8,"However, ARNI increased symptomatic hypotension risk (RR: 1.33; 95% CI: 1.04-1.71; <i>p</i> = 0.024).",1137,1238
med:pmid:40689605:sec:conclusion:sent:9,med:pmid:40689605,conclusion,9,"initiation of ARNI after ADHF stabilization is more effective than ACEIs/ARBs for cardiovascular and renal outcomes, albeit with higher symptomatic hypotension risk.",1239,1424
med:pmid:40689605:sec:conclusion:sent:10,med:pmid:40689605,conclusion,10,<h4>Protocol registration</h4> PROSPERO: CRD42024618027.,1425,1481
med:pmid:40101251:sec:title:sent:0,med:pmid:40101251,title,0,Heart Health Hub virtual care program for newly diagnosed heart failure patients.,0,81
med:pmid:40101251:sec:introduction:sent:1,med:pmid:40101251,introduction,1,The Heart Health Hub (HHH) is a virtual model of care for patients with newly diagnosed heart failure.,0,112
med:pmid:40101251:sec:introduction:sent:2,med:pmid:40101251,introduction,2,A program pilot commenced in April 2020 and aimed to achieve acceptable titration rates for heart failure medications while improving patient access to services.,113,274
med:pmid:40101251:sec:introduction:sent:3,med:pmid:40101251,introduction,3,"This study aimed to investigate whether the virtual HHH service could deliver feasible, safe and acceptable titration outcomes.",275,402
med:pmid:40101251:sec:methods:sent:4,med:pmid:40101251,methods,4,A single-arm observational cohort study design was adopted.,402,468
med:pmid:40101251:sec:methods:sent:5,med:pmid:40101251,methods,5,Eligible heart failure patients currently receiving care could consent to be enrolled in the pilot virtual HHH program based on pre-defined inclusion and exclusion criteria.,469,642
med:pmid:40101251:sec:results:sent:6,med:pmid:40101251,results,6,"on patient demographics, clinical characteristics and heart failure medication titration rates were obtained from routine health system databases and patient notes.",643,812
med:pmid:40101251:sec:results:sent:7,med:pmid:40101251,results,7,Patient satisfaction data were collected using a Likert-scale questionnaire.,813,889
med:pmid:40101251:sec:results:sent:8,med:pmid:40101251,results,8,Overall health service use and costs for each patient were obtained from health system databases for a period of 12 months following enrolment in the virtual HHH program.,890,1060
med:pmid:40101251:sec:results:sent:9,med:pmid:40101251,results,9,A total of 89 heart failure patients were included in the evaluation.,1060,1136
med:pmid:40101251:sec:results:sent:10,med:pmid:40101251,results,10,"Of these, 95% reached titration to either guideline-recommended target doses or maximum tolerated doses for both angiotensin-converting enzyme inhibitor/angiotensin receptor blockers/angiotensin and angiotensin receptor-neprilysin inhibitor (ACEI/ARB/ARNI) and beta-blockers combined.",1137,1421
med:pmid:40101251:sec:results:sent:11,med:pmid:40101251,results,11,"The mean number of days to achieve titration ranged from 20.2 days for mineralocorticoid receptor antagonist drugs, between 27.5 to 32.3 days for ACEI/ARB/ARNI drugs and 41.0 days for beta-blockers; 70 (79%) patients completed the satisfaction survey at least once, with more than 98% of survey questions receiving a positive response.",1422,1757
med:pmid:40101251:sec:results:sent:12,med:pmid:40101251,results,12,"The average monthly equipment and consumables cost per patient was $277 in year 2021/22.ConclusionThis study provides evidence that a virtual model of care for newly diagnosed heart failure patients was feasible, safe and acceptable, with high titration rates, relatively rapid times to titration, strong patient satisfaction outcomes and relatively low equipment costs.",1758,2128
med:pmid:41455057:sec:title:sent:0,med:pmid:41455057,title,0,A New Avenue for the Long-Term Upstream Inhibition of the Renin-Angiotensin-Aldosterone System by Inhibiting Angiotensinogen RNA.,0,129
med:pmid:41455057:sec:abstract:sent:1,med:pmid:41455057,abstract,1,"The renin-angiotensin system (RAS) plays a pivotal role in the pathophysiology of several conditions such as hypertension, heart failure and chronic kidney disease.",0,164
med:pmid:41455057:sec:abstract:sent:2,med:pmid:41455057,abstract,2,"In the last fifty years different therapeutic strategies, including angiotensin converting enzyme inhibitors (ACEi), type 1 angiotensin II receptor blockers (ARBs) and angiotensin receptor neprilysin inhibitors (ARNi), have been developed to counteract this neurohormonal dysregulation.",165,451
med:pmid:41455057:sec:abstract:sent:3,med:pmid:41455057,abstract,3,"However, all these therapeutic strategies have a relatively short-term action and they need to be administered orally once or more times every day to achieve the therapeutic purposes with a risk of poor therapeutic adherence.",452,677
