sentence_id,narrative_type,narrative_subtype,product_a,product_b,sentence_text,section,publication_date,narrative_confidence,is_correct
med:pmid:27868321:sec:results:sent:8,safety,safety_acknowledgment,enalapril,sacubitril_valsartan,"The narrow SMQ search identified 27 dementia-related AEs: 15 (0.36%) on enalapril and 12 (0.29%) on sacubitril/valsartan [hazard ratio (HR) 0.73, 95% confidence interval (CI) 0.33-1.59].",results,20-11-2016,0.7,TRUE
med:pmid:39320292:sec:results:sent:10,safety,safety_acknowledgment,enalapril,sacubitril_valsartan,The safety of sacubitril/valsartan vs enalapril was also maintained regardless of the occurrence of hypotension.,results,25-9-2024,0.9,TRUE
med:pmid:35282662:sec:results:sent:9,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"When compared to the enalapril group, the ARNI group patients had a significant reduction in LVEDV (P<0.001) and LVESV (P<0.001), and an improvement in LVEF (P=0.011) at 24 weeks.",results,1-2-2022,0.6,TRUE
med:pmid:41296625:sec:conclusion:sent:7,positioning,combination,enalapril,sacubitril_valsartan,"Patients with a number of neurohormonal drugs either unchanged or increased had a lower risk of mortality (odds ratio 0.71, 95% confidence interval 0.53-0.95, P = 0.023). ATTRwt-CA patients on beta-blockers or ACEi/ARB/ARNI at diagnosis did not have a shorter survival.",conclusion,26-9-2025,0.85,TRUE
med:pmid:41079587:sec:results:sent:6,safety,safety_acknowledgment,enalapril,sacubitril_valsartan,"Prespecified subgroup analyses were performed to assess treatment-effect consistency. Despite a higher baseline risk profile in the Sacubitril/Valsartan group, the 1-year cumulative incidence of AF was lower than in the ACEI/ARB group (CIF 10.8% vs. 17.9%; Gray's test <i>P</i> = 0.002).",results,26-9-2025,0.9,TRUE
med:pmid:39320292:sec:results:sent:9,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"However, the effect of sacubitril/valsartan on the primary outcome was not diminished in patients experiencing hypotension compared to those who did not: the HR for sacubitril/valsartan vs enalapril was 0.80 (95% CI: 0.72-0.89) for no hypotension, 0.87 (95% CI: 0.70-1.08) for asymptomatic hypotension, and 0.51 (95% CI: 0.38-0.69) for symptomatic hypotension (P<sub>interaction</sub> = 0.01), and this was also true for cardiovascular and all-cause deaths.",results,25-9-2024,0.39999999999999997,TRUE
med:pmid:27283779:sec:conclusion:sent:5,safety,safety_acknowledgment,enalapril,sacubitril_valsartan,"However, the treatment benefit of sacubitril/valsartan over enalapril following a dose reduction was similar (HR 0.80, 95% CI 0.70-0.93, P < 0.001) to that observed in patients who had not experienced any dose reduction (HR 0.79, 95% CI 0.71-0.88, P < 0.001). In PARADIGM-HF, study medication dose reduction identified patients at higher risk of a major cardiovascular event.",conclusion,10-6-2016,0.9,TRUE
med:pmid:37407154:sec:conclusion:sent:13,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Irrespective of anemia status, sacubitril/valsartan compared with enalapril, decreased mortality and hospitalization.",conclusion,12-4-2023,0.6,TRUE
med:pmid:35717169:sec:results:sent:8,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Across the spectrum of LVEF, sacubitril/valsartan reduced new insulin therapy (HR: 0.75, 95% CI 0.63-0.89, P = 0.001), compared with enalapril or valsartan.",results,18-6-2022,0.39999999999999997,TRUE
med:pmid:41249923:sec:results:sent:14,positioning,combination,enalapril,sacubitril_valsartan,"In another subgroup analyses, shorter follow-up periods were associated with improvement in ACEi/ARB/ARNI (OR:1.38, [95% CI: 1.08, 1.77]), beta-blockers (OR: 1.45, [95% CI: 1.28, 1.61]) prescriptions and total mortality (OR: 0.86, [95% CI: 0.75, 0.99]).",results,17-11-2025,0.6499999999999999,TRUE
