narrative_type,narrative_subtype,bucket_start,count,reference_avg,delta_count,delta_ratio,status,lookback_used,min_ratio,min_count
access,coverage_access,2023-04-24 00:00:00+00:00,2.0,,,,insufficient_history,0,0.4,3.0
comparative,comparative_efficacy,2025-12-29 00:00:00+00:00,2.0,1.0,1.0,1.0,stable,4,0.4,3.0
comparative,comparative_safety,2025-01-27 00:00:00+00:00,1.0,1.0,0.0,0.0,stable,1,0.4,3.0
evidence,clinical_context,2025-01-27 00:00:00+00:00,1.0,,,,insufficient_history,0,0.4,3.0
evidence,clinical_trial,2025-12-29 00:00:00+00:00,2.0,1.25,0.75,0.6,stable,4,0.4,3.0
evidence,evidence_review,2023-11-06 00:00:00+00:00,2.0,,,,insufficient_history,0,0.4,3.0
evidence,real_world,2025-09-08 00:00:00+00:00,1.0,1.0,0.0,0.0,stable,1,0.4,3.0
positioning,combination,2025-11-17 00:00:00+00:00,3.0,1.75,1.25,0.7142857142857143,stable,4,0.4,3.0
positioning,switching,2025-04-21 00:00:00+00:00,1.0,1.0,0.0,0.0,stable,1,0.4,3.0
safety,safety_acknowledgment,2025-09-22 00:00:00+00:00,3.0,1.0,2.0,2.0,stable,4,0.4,3.0
