narrative_type,narrative_subtype,bucket_start,count,wow_change,z_score
access,coverage_access,2023-04-24 00:00:00+00:00,2.0,,
comparative,comparative_efficacy,2015-12-28 00:00:00+00:00,1.0,,
comparative,comparative_efficacy,2016-02-29 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2016-04-18 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2016-06-06 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2016-08-29 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2016-11-28 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-01-17 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2022-01-24 00:00:00+00:00,2.0,1.0,
comparative,comparative_efficacy,2022-01-31 00:00:00+00:00,2.0,0.0,1.7320508075688774
comparative,comparative_efficacy,2022-06-13 00:00:00+00:00,1.0,-0.5,-1.0
comparative,comparative_efficacy,2022-06-27 00:00:00+00:00,1.0,0.0,-1.0
comparative,comparative_efficacy,2022-09-26 00:00:00+00:00,1.0,0.0,-1.0
comparative,comparative_efficacy,2023-01-23 00:00:00+00:00,3.0,2.0,4.041451884327381
comparative,comparative_efficacy,2023-02-13 00:00:00+00:00,1.0,-0.6666666666666666,-0.5773502691896258
comparative,comparative_efficacy,2023-04-10 00:00:00+00:00,3.0,2.0,1.7320508075688774
comparative,comparative_efficacy,2023-11-06 00:00:00+00:00,3.0,0.0,1.0
comparative,comparative_efficacy,2023-11-20 00:00:00+00:00,3.0,0.0,0.5773502691896258
comparative,comparative_efficacy,2024-01-01 00:00:00+00:00,1.0,-0.6666666666666666,-1.7320508075688774
comparative,comparative_efficacy,2024-02-26 00:00:00+00:00,2.0,1.0,-0.5773502691896258
comparative,comparative_efficacy,2024-09-09 00:00:00+00:00,2.0,0.0,-0.30151134457776363
comparative,comparative_efficacy,2024-09-23 00:00:00+00:00,2.0,0.0,0.0
comparative,comparative_efficacy,2024-10-21 00:00:00+00:00,1.0,-0.5,-1.7320508075688774
comparative,comparative_efficacy,2024-11-18 00:00:00+00:00,1.0,0.0,-1.7320508075688774
comparative,comparative_efficacy,2024-12-30 00:00:00+00:00,2.0,1.0,1.0
comparative,comparative_efficacy,2025-01-27 00:00:00+00:00,1.0,-0.5,-1.0
comparative,comparative_efficacy,2025-02-10 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2025-02-17 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2025-02-24 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2025-04-21 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2025-04-28 00:00:00+00:00,2.0,1.0,
comparative,comparative_efficacy,2025-05-12 00:00:00+00:00,1.0,-0.5,-0.5773502691896258
comparative,comparative_efficacy,2025-08-11 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2025-08-18 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2025-09-01 00:00:00+00:00,1.0,0.0,-0.5773502691896258
comparative,comparative_efficacy,2025-09-22 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2025-10-27 00:00:00+00:00,1.0,0.0,
comparative,comparative_efficacy,2025-12-29 00:00:00+00:00,2.0,1.0,
comparative,comparative_safety,2022-01-17 00:00:00+00:00,1.0,,
comparative,comparative_safety,2025-01-27 00:00:00+00:00,1.0,0.0,
evidence,clinical_context,2025-01-27 00:00:00+00:00,1.0,,
evidence,clinical_trial,2015-12-28 00:00:00+00:00,2.0,,
evidence,clinical_trial,2016-02-29 00:00:00+00:00,1.0,-0.5,
