doc_id,sentence_id,product_a,product_a_alias,product_b,product_b_alias,sentence_text,publication_date,journal,section,sent_index,count,recency_weight,study_type,study_type_weight,combined_weight,evidence_weight,labels,matched_terms,context_rule_hits,indications,direction_type,product_a_role,product_b_role,direction_triggers,narrative_type,narrative_subtype,narrative_confidence,sentiment_label,sentiment_score,sentiment_model,sentiment_inference_ts,confidence_breakdown
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:1,enalapril,enalapril,sacubitril_valsartan,ARNI,"In a large-scale randomized controlled study of heart failure (HF), angiotensin receptor-neprilysin inhibitors (ARNI) reduced cardiovascular events compared to enalapril, but resulted in more symptomatic hypotension.",2026-01-08,,abstract,1,1,1.0,other,1.0,1.0,1.0,"['compared to', 'randomized']","{""comparative_terms"": [""compared to""], ""study_context"": [""randomized""]}","['comparative_terms', 'study_context']",[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:4,enalapril,angiotensin converting enzyme inhibitors,sacubitril_valsartan,ARNI,"Among 166 patients treated with newly prescribed renin-angiotensin system inhibitor (75.7 ± 13.4 years, 57.2% men, and ejection fraction 39 ± 17%), 114 were treated with newly prescribed ARNI (ARNI group) and 52 were treated with newly prescribed angiotensin converting enzyme inhibitors or angiotensin receptor blockers but without ARNI (ACEi/ARB group).",2026-01-08,,abstract,4,1,1.0,other,1.0,1.0,1.0,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:5,enalapril,ACEi,sacubitril_valsartan,ARNI,The initial day of prescription was day 4 [2-6] for the ARNI group and day 3 [1-6] for the ACEi/ARB group.,2026-01-08,,abstract,5,1,1.0,other,1.0,1.0,1.0,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:6,enalapril,ACEi,sacubitril_valsartan,ARNI,"Three days after the initiation of each drug, systolic BP dropped from 132 ± 24 to 117 ± 19 mmHg (ARNI group, p < 0.001) and 131 ± 19 to 117 ± 21 mmHg (ACEi/ARB group, p < 0.001).",2026-01-08,,abstract,6,1,1.0,other,1.0,1.0,1.0,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:9,enalapril,ACEi,sacubitril_valsartan,ARNI,Early changes in BP after ARNI initiation were comparable with those in the ACEi/ARB group.,2026-01-08,,abstract,9,1,1.0,other,1.0,1.0,1.0,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 1.0, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 1.0, 'final_confidence': 1.0}"
med:pmid:41335448,med:pmid:41335448:sec:conclusion:sent:13,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"In patients with HF with reduced ejection fraction due to Chagas disease, there was no significant difference in clinical outcomes between sacubitril/valsartan and enalapril, but there was a greater reduction in NT-proBNP at 12 weeks in patients in the sacubitril/valsartan group.",2026-01-01,,conclusion,13,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,['no significant difference'],"{""comparative_terms"": [""no significant difference""], ""claim_strength_terms"": {""suggestive"": [""greater reduction""]}}","['comparative_terms', 'claim_strength:suggestive']",[],,,,[],comparative,comparative_efficacy,0.6,POS,2.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:methods:sent:5,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"Patients were randomized to receive sacubitril/valsartan (target dose, 200 mg twice daily) or enalapril (target dose, 10 mg twice daily), in addition to standard therapy.",2026-01-01,,methods,5,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,"['add-on therapy', 'randomized']","{""add-on therapy"": [""in addition to standard therapy""], ""study_context"": [""randomized""]}","['relationship:add-on therapy', 'study_context']",[],add_on,add_on,backbone,['add_on_to'],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:results:sent:10,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,A total of 102 patients (22.1% [7.7% wins]) in the sacubitril/valsartan group and 111 (24.1% [6.9% wins]) in the enalapril group experienced a first hospitalization for HF.,2026-01-01,,results,10,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:results:sent:11,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"Patients in the sacubitril/valsartan group had a median (IQR) decrease in NT-proBNP of 30.6% (-54.3% to -0.9%) at 12 weeks, leading to 22.5% wins, while those in the enalapril group had a 5.5% (-31.9% to 37.5%) decrease (7.2% wins).",2026-01-01,,results,11,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:results:sent:12,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"The resulting stratified win ratio was 1.52 (95% CI, 1.28-1.82; P < .001) for sacubitril/valsartan compared with enalapril.",2026-01-01,,results,12,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,['compared with'],"{""comparative_terms"": [""compared with""]}",['comparative_terms'],[],,,,[],comparative,comparative_efficacy,0.8,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:results:sent:8,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"Overall, 462 participants were randomized to receive sacubitril/valsartan and 460 to receive enalapril (mean [SD] age, 64.2 [10.8] years; 387 [42.0%] were female).",2026-01-01,,results,8,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,['randomized'],"{""study_context"": [""randomized""]}",['study_context'],[],,,,[],evidence,clinical_trial,0.7,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:results:sent:9,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,"Over a median (IQR) follow-up of 25.2 (18.4-33.2) months, cardiovascular death occurred in 110 patients (23.8% [18.3% wins in the hierarchical comparison]) in the sacubitril/valsartan group and 117 patients (25.4% [17.5% wins]) in the enalapril group.",2026-01-01,,results,9,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41335448,med:pmid:41335448:sec:title:sent:0,enalapril,Enalapril,sacubitril_valsartan,Sacubitril/Valsartan,"Sacubitril/Valsartan vs Enalapril in Heart Failure Due to Chagas Disease: An Open-Label, Multicenter Randomized Clinical Trial.",2026-01-01,,results,0,1,0.9867947312196229,randomized controlled trial,1.6,1.5788715699513967,1.5788715699513967,"['vs', 'clinical trial', 'randomized', 'trial']","{""comparative_terms"": [""vs""], ""study_context"": [""clinical trial"", ""randomized"", ""trial""]}","['comparative_terms', 'study_context']",[],,,,[],evidence,clinical_trial,0.7,NEG,-1.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9867947312196229, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.5788715699513967, 'final_confidence': 1.5788715699513967}"
med:pmid:41455057,med:pmid:41455057:sec:abstract:sent:2,enalapril,angiotensin converting enzyme inhibitors,sacubitril_valsartan,angiotensin receptor neprilysin inhibitors,"In the last fifty years different therapeutic strategies, including angiotensin converting enzyme inhibitors (ACEi), type 1 angiotensin II receptor blockers (ARBs) and angiotensin receptor neprilysin inhibitors (ARNi), have been developed to counteract this neurohormonal dysregulation.",2025-12-27,,abstract,2,1,0.9793273044104384,review,0.9,0.8813945739693946,0.8813945739693946,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 0.9793273044104384, 'study_type': 'review', 'study_type_weight': 0.9, 'mention_count': 1, 'combined_weight': 0.8813945739693946, 'final_confidence': 0.8813945739693946}"
med:pmid:41408894,med:pmid:41408894:sec:results:sent:10,enalapril,ACEi,sacubitril_valsartan,ARNI,"In the HFpEF group, 76% were on beta-blockers, 49% on ACEi/ARB, 18% on ARNI, 49% on MRA and 40% on SGLT2i.",2025-12-17,,results,10,1,0.9609050283063585,other,1.0,0.9609050283063585,0.9609050283063585,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9609050283063585, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.9609050283063585, 'final_confidence': 0.9609050283063585}"
med:pmid:41408894,med:pmid:41408894:sec:results:sent:5,enalapril,ACEi,sacubitril_valsartan,ARNI,"Among HFrEF, prescription frequencies were: 90% for beta-blockers; 19% for angiotensin-converting enzyme inhibitors (ACEi)/angiotensin II receptor blockers (ARB); 61% for angiotensin receptor-neprilysin inhibitors (ARNI); 72% for mineralocorticoid receptor antagonists (MRA); and 69% for sodium-glucose co-transporter 2 inhibitors (SGLT2i).",2025-12-17,,results,5,1,0.9609050283063585,other,1.0,0.9609050283063585,0.9609050283063585,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 0.9609050283063585, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.9609050283063585, 'final_confidence': 0.9609050283063585}"
med:pmid:41408894,med:pmid:41408894:sec:results:sent:9,enalapril,ACEi,sacubitril_valsartan,ARNI,"Among HFmrEF, 88% were on beta-blockers, 34% on ACEi/ARB, 49% on ARNI, 63% on MRA, and 59% on SGLT2i.",2025-12-17,,results,9,1,0.9609050283063585,other,1.0,0.9609050283063585,0.9609050283063585,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 0.9609050283063585, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.9609050283063585, 'final_confidence': 0.9609050283063585}"
med:pmid:41379379,med:pmid:41379379:sec:abstract:sent:1,enalapril,ACEIs,sacubitril_valsartan,ARNIs,"Chronic heart failure with reduced ejection fraction (HFrEF) is a progressive syndrome associated with substantial residual morbidity and mortality despite contemporary guideline-directed medical therapy (GDMT) - angiotensin-converting enzyme inhibitors (ACEIs)/angiotensin receptor blockers (ARBs)/angiotensin receptor-neprilysin inhibitors (ARNIs), beta-blockers, mineralocorticoid receptor antagonists (MRAs) and sodium-glucose cotransporter-2 inhibitors (SGLT2is) [1].",2025-12-11,,abstract,1,1,0.950018423870487,review,0.9,0.8550165814834383,0.8550165814834383,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 0.950018423870487, 'study_type': 'review', 'study_type_weight': 0.9, 'mention_count': 1, 'combined_weight': 0.8550165814834383, 'final_confidence': 0.8550165814834383}"
med:pmid:41249923,med:pmid:41249923:sec:results:sent:10,enalapril,ACEi,sacubitril_valsartan,ARNI,"Sensitivity analyses excluding one study showed significant improvements in ACEi/ARB/ARNI prescriptions (OR: 1.36, [95% CI: 1.10, 1.69]).",2025-11-17,,results,10,1,0.9076915125983672,review,0.9,0.8169223613385305,0.8169223613385305,['combination'],"{""combination"": [""acei/arb/arni""]}",['relationship:combination'],[],,,,[],positioning,combination,0.6499999999999999,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9076915125983672, 'study_type': 'review', 'study_type_weight': 0.9, 'mention_count': 1, 'combined_weight': 0.8169223613385305, 'final_confidence': 0.8169223613385305}"
med:pmid:41249923,med:pmid:41249923:sec:results:sent:12,enalapril,ACEi,sacubitril_valsartan,ARNI,"Subgroup analyses showed significant improvements in ACEi/ARB/ARNI (OR:1.35, [95% CI: 1.03, 1.77)]) and beta-blockers (OR:1.48, [95% CI: 1.31, 1.68)]) prescriptions along with reduced total mortality (OR: 0.86, [95% CI: 0.76, 0.98]) in hospitals.",2025-11-17,,results,12,1,0.9076915125983672,review,0.9,0.8169223613385305,0.8169223613385305,['combination'],"{""combination"": [""acei/arb/arni""]}",['relationship:combination'],[],,,,[],positioning,combination,0.6499999999999999,POS,1.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9076915125983672, 'study_type': 'review', 'study_type_weight': 0.9, 'mention_count': 1, 'combined_weight': 0.8169223613385305, 'final_confidence': 0.8169223613385305}"
med:pmid:41249923,med:pmid:41249923:sec:results:sent:14,enalapril,ACEi,sacubitril_valsartan,ARNI,"In another subgroup analyses, shorter follow-up periods were associated with improvement in ACEi/ARB/ARNI (OR:1.38, [95% CI: 1.08, 1.77]), beta-blockers (OR: 1.45, [95% CI: 1.28, 1.61]) prescriptions and total mortality (OR: 0.86, [95% CI: 0.75, 0.99]).",2025-11-17,,results,14,1,0.9076915125983672,review,0.9,0.8169223613385305,0.8169223613385305,['combination'],"{""combination"": [""acei/arb/arni""]}",['relationship:combination'],[],,,,[],positioning,combination,0.6499999999999999,POS,1.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.9076915125983672, 'study_type': 'review', 'study_type_weight': 0.9, 'mention_count': 1, 'combined_weight': 0.8169223613385305, 'final_confidence': 0.8169223613385305}"
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:10,enalapril,ACEI,sacubitril_valsartan,ARNI,"ARNI/ACEI/ARB therapy was optimized in 48.4% of the subjects, with optimization rates of 37.9%, 40.2%, and 44.1% for beta-blockers, MRAs, and SGLT2is, respectively.",2025-11-11,,introduction,10,1,0.897407792400885,other,1.0,0.897407792400885,0.897407792400885,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 0.897407792400885, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.897407792400885, 'final_confidence': 0.897407792400885}"
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:11,enalapril,ACEI,sacubitril_valsartan,ARNI,"However, only 38 (22.0%) patients reached the level of treatment corresponding to ""SGLT2i and ARNI/ACEI/ARB and betablocker and MRA in doses ≥ 50%"".",2025-11-11,,introduction,11,1,0.897407792400885,other,1.0,0.897407792400885,0.897407792400885,['combination'],"{""combination"": [""arni/acei/arb""]}",['relationship:combination'],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.897407792400885, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.897407792400885, 'final_confidence': 0.897407792400885}"
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:9,enalapril,ACEI,sacubitril_valsartan,ARNI,"In the analysis for the whole group (regardless of ejection fraction [EF]), ARNI (angiotensin receptor-neprilysin inhibitor)/ACEI (angiotensin-converting enzyme inhibitor)/ARB (angiotensin receptor blocker) use increased from 63.3% of the subjects at admission to 81.3% at discharge, beta-blocker use increased from 70.6% to 92.6%, MRA (mineralocorticoid receptor antagonist) use increased from 43.1% to 75.8%, and SGLT2i (sodium-glucose co-transporter 2 inhibitor) use increased from 30.1% to 75.0%.",2025-11-11,,introduction,9,1,0.897407792400885,other,1.0,0.897407792400885,0.897407792400885,[],,[],[],,,,[],,,,POS,4.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.897407792400885, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.897407792400885, 'final_confidence': 0.897407792400885}"
med:pmid:41377094,med:pmid:41377094:sec:introduction:sent:7,enalapril,ACEi,sacubitril_valsartan,ARNI,"In multivariable regression analysis, older age was the only independent socio-demographic predictor of under-prescription both overall and for ACEi/ARB/ARNI (OR0.70; 95% CI 0.55-0.89), beta-blockers (OR0.59; 95% CI 0.41-0.84) and SGLT2i (OR0.66, 95% CI 0.47-0.93), while also associated with a loop diuretics use (OR1.56; 95% CI 1.13-2.17).",2025-11-04,,introduction,7,1,0.8855572812966265,other,1.0,0.8855572812966265,0.8855572812966265,['combination'],"{""combination"": [""acei/arb/arni""]}",['relationship:combination'],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.8855572812966265, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.8855572812966265, 'final_confidence': 0.8855572812966265}"
med:pmid:40839760,med:pmid:40839760:sec:results:sent:5,enalapril,enalapril,sacubitril_valsartan,sacubitril/valsartan,Changes in LSS severity at 8 months were analysed using ordinal logistic regression models to estimate the effect of sacubitril/valsartan vs. enalapril or valsartan.,2025-11-01,,results,5,1,0.878855954288881,randomized controlled trial,1.6,1.4061695268622096,1.4061695268622096,['vs'],"{""comparative_terms"": [""vs""]}",['comparative_terms'],[],,,,[],comparative,comparative_efficacy,0.8,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.744624+00:00,"{'recency_weight': 0.878855954288881, 'study_type': 'randomized controlled trial', 'study_type_weight': 1.6, 'mention_count': 1, 'combined_weight': 1.4061695268622096, 'final_confidence': 1.4061695268622096}"
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:14,enalapril,ACEI,sacubitril_valsartan,ARNI,"No significant between-group differences were observed in drug utilization rate of β-blockers, ACEI/ARB/ARNI, or sodium-glucose cotransporter 2 inhibitors during follow-up (all <i>P</i>>0.05), while mineralocorticoid receptor antagonists use showed a declining trend in both groups.",2025-11-01,,abstract,14,1,0.8805265167996554,other,1.0,0.8805265167996554,0.8805265167996554,['combination'],"{""combination"": [""acei/arb/arni""]}",['relationship:combination'],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.8805265167996554, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.8805265167996554, 'final_confidence': 0.8805265167996554}"
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:15,enalapril,ACEI,sacubitril_valsartan,ARNI,"Although the core hospital-treated group had higher target dose achievement rates for β-blockers (65.4% vs. 49.3%, <i>P</i>=0.042) and ACEI/ARB/ARNI (79.8% vs. 65.8%, <i>P</i>=0.046) than the two-way referral group, multivariate logistic regression indicated that the two-way referral model was not a negative predictor for these outcomes (all <i>P</i>>0.05).",2025-11-01,,abstract,15,1,0.8805265167996554,other,1.0,0.8805265167996554,0.8805265167996554,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 0.8805265167996554, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.8805265167996554, 'final_confidence': 0.8805265167996554}"
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:5,enalapril,ACEI,sacubitril_valsartan,ARNI,"Patients underwent followed-up, with primary endpoints including follow-up rate, drug (β-blockers, angiotension converting enzyme inhibitor (ACEI)/angiotensin Ⅱ receptor blockers (ARB)/angiotensin receptor-neprilysin inhibitor (ARNI), sodium-glucose cotransporter 2 inhibitors and mineralocorticoid receptor antagonists) utilization rate and target dose achievement rate.",2025-11-01,,abstract,5,1,0.8805265167996554,other,1.0,0.8805265167996554,0.8805265167996554,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 0.8805265167996554, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.8805265167996554, 'final_confidence': 0.8805265167996554}"
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:9,enalapril,ACEI,sacubitril_valsartan,ARNI,Multivariate logistic regression was used to identify factors influencing target dose achievement rate for β-blockers and ACEI/ARB/ARNI therapies in CHF patients.,2025-11-01,,abstract,9,1,0.8805265167996554,other,1.0,0.8805265167996554,0.8805265167996554,['combination'],"{""combination"": [""acei/arb/arni""]}",['relationship:combination'],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.8805265167996554, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.8805265167996554, 'final_confidence': 0.8805265167996554}"
med:pmid:41151613,med:pmid:41151613:sec:abstract:sent:2,enalapril,ACE inhibitor,sacubitril_valsartan,sacubitril/valsartan,"Since 2021, evidence‑based management of heart failure with reduced ejection fraction (HFrEF) has centred on four pharmacological ""pillars"": β‑blockers, sacubitril/valsartan (or an ACE inhibitor), mineralocorticoid‑receptor antagonists, and sodium-glucose co‑transporter‑2 (SGLT‑2) inhibitors.",2025-10-28,,abstract,2,1,0.8738632593766845,review,0.9,0.786476933439016,0.786476933439016,[],,[],[],,,,[],,,,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.8738632593766845, 'study_type': 'review', 'study_type_weight': 0.9, 'mention_count': 1, 'combined_weight': 0.786476933439016, 'final_confidence': 0.786476933439016}"
med:pmid:41136931,med:pmid:41136931:sec:results:sent:7,enalapril,ACEI,sacubitril_valsartan,ARNI,"Target dose attainment varied by drug class: 78% for beta-blockers, 63% for ACEI/ARB/ARNI, 96% for MRAs, and 100% for ivabradine.",2025-10-24,,results,7,1,0.8672504251932615,other,1.0,0.8672504251932615,0.8672504251932615,[],,[],[],,,,[],,,,,,,,"{'recency_weight': 0.8672504251932615, 'study_type': 'other', 'study_type_weight': 1.0, 'mention_count': 1, 'combined_weight': 0.8672504251932615, 'final_confidence': 0.8672504251932615}"
med:pmid:41084891,med:pmid:41084891:sec:conclusion:sent:6,enalapril,ACEI,sacubitril_valsartan,ARNI,"However, only 64 patients (22.3%) attained the 4‑pillar GDMT of SGLT2i, ARNI/ACEI/ARB, β‑blockers, and MRA at doses equal to or above 50% of the target dose. In the Polish multicenter HEROES registry, over 80% of the patients with HFrEF were discharged on 4‑pillar GDMT.",2025-10-14,,conclusion,6,1,0.8509364444512367,observational study,1.2,1.021123733341484,1.021123733341484,"['combination', 'registry']","{""combination"": [""arni/acei/arb"", ""gdmt""], ""study_context"": [""registry""], ""real_world_terms"": [""registry""]}","['relationship:combination', 'study_context', 'real_world_terms']",[],,,,[],positioning,combination,0.85,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,"{'recency_weight': 0.8509364444512367, 'study_type': 'observational study', 'study_type_weight': 1.2, 'mention_count': 1, 'combined_weight': 1.021123733341484, 'final_confidence': 1.021123733341484}"
