doc_id,recency_weight,study_type,study_type_weight,combined_weight,computed_at
med:pmid:26942857,0.0010820217430234352,case report,0.7,0.0007574152201164046,2026-01-07 21:05:47
med:pmid:28041976,0.0019127486414266383,other,1.0,0.0019127486414266383,2026-01-07 21:05:47
med:pmid:27925507,0.0015879375192022205,other,1.0,0.0015879375192022205,2026-01-07 21:05:47
med:pmid:27844290,0.0017560812870010256,other,1.0,0.0017560812870010256,2026-01-07 21:05:47
med:pmid:27837046,0.0017461051605786844,case report,0.7,0.001222273612405079,2026-01-07 21:05:47
med:pmid:27194070,0.001247646252559995,review,0.9,0.0011228816273039957,2026-01-07 21:05:47
med:pmid:28951664,0.0019018825030523586,other,1.0,0.0019018825030523586,2026-01-07 21:05:47
med:pmid:28024961,0.0018946727266417542,randomized controlled trial,1.6,0.003031476362626807,2026-01-07 21:05:47
med:pmid:28587583,0.001909119714742504,review,0.9,0.0017182077432682536,2026-01-07 21:05:47
med:pmid:27913306,0.0018068234179366583,randomized controlled trial,1.6,0.0028909174686986535,2026-01-07 21:05:47
med:pmid:27482986,0.0014413574087163625,other,1.0,0.0014413574087163625,2026-01-07 21:05:47
med:pmid:28566932,0.001024043808732588,other,1.0,0.001024043808732588,2026-01-07 21:05:47
med:pmid:27885499,0.0017897485208871469,randomized controlled trial,1.6,0.0028635976334194352,2026-01-07 21:05:47
med:pmid:27550396,0.001499999860815406,other,1.0,0.001499999860815406,2026-01-07 21:05:47
med:pmid:26758541,0.0009802786020882274,other,1.0,0.0009802786020882274,2026-01-07 21:05:47
med:pmid:28648436,0.0015462761388600687,review,0.9,0.001391648524974062,2026-01-07 21:05:47
med:pmid:28648422,0.0018379697874330123,other,1.0,0.0018379697874330123,2026-01-07 21:05:47
med:pmid:27874252,0.0017829638290641258,other,1.0,0.0017829638290641258,2026-01-07 21:05:47
med:pmid:27853163,0.0017661144106195501,randomized controlled trial,1.6,0.0028257830569912803,2026-01-07 21:05:47
med:pmid:27488342,0.001444097195185212,other,1.0,0.001444097195185212,2026-01-07 21:05:47
med:pmid:27485363,0.0014386228202562896,review,0.9,0.0012947605382306606,2026-01-07 21:05:47
med:pmid:27473864,0.0014304501444039927,other,1.0,0.0014304501444039927,2026-01-07 21:05:47
med:pmid:28169115,0.0019163844661113417,other,1.0,0.0019163844661113417,2026-01-07 21:05:47
med:pmid:28040266,0.001909119714742504,other,1.0,0.001909119714742504,2026-01-07 21:05:47
med:pmid:28025096,0.0018910780941498008,other,1.0,0.0018910780941498008,2026-01-07 21:05:47
med:pmid:27908822,0.001803395455907116,other,1.0,0.001803395455907116,2026-01-07 21:05:47
med:pmid:27889699,0.0017965590304201981,other,1.0,0.0017965590304201981,2026-01-07 21:05:47
med:pmid:27546817,0.0014971540140568634,randomized controlled trial,1.6,0.0023954464224909817,2026-01-07 21:05:47
med:pmid:27485007,0.0014413574087163625,observational study,1.2,0.001729628890459635,2026-01-07 21:05:47
med:pmid:27038455,0.001141113123157653,other,1.0,0.001141113123157653,2026-01-07 21:05:47
med:pmid:28367520,0.0016746579757749044,review,0.9,0.001507192178197414,2026-01-07 21:05:48
med:pmid:28292483,0.0018874902815072972,other,1.0,0.0018874902815072972,2026-01-07 21:05:48
med:pmid:28068517,0.0018910780941498008,other,1.0,0.0018910780941498008,2026-01-07 21:05:48
med:pmid:28043809,0.0018946727266417542,other,1.0,0.0018946727266417542,2026-01-07 21:05:48
med:pmid:28041700,0.0018874902815072972,randomized controlled trial,1.6,0.0030199844504116757,2026-01-07 21:05:48
med:pmid:27995498,0.0018767676334108564,review,0.9,0.0016890908700697709,2026-01-07 21:05:48
med:pmid:27974807,0.0018625654650196444,review,0.9,0.00167630891851768,2026-01-07 21:05:48
med:pmid:27940336,0.0018379697874330123,other,1.0,0.0018379697874330123,2026-01-07 21:05:48
