mention_id,doc_id,sentence_id,product_canonical,alias_matched,start_char,end_char,match_method
med:pmid:28041976:sec:abstract:sent:3:enalapril:238-242,med:pmid:28041976,med:pmid:28041976:sec:abstract:sent:3,enalapril,ACEi,238,242,regex
med:pmid:27925507:sec:introduction:sent:3:enalapril:67-71,med:pmid:27925507,med:pmid:27925507:sec:introduction:sent:3,enalapril,ACEI,67,71,regex
med:pmid:27925507:sec:introduction:sent:4:enalapril:88-92,med:pmid:27925507,med:pmid:27925507:sec:introduction:sent:4,enalapril,ACEI,88,92,regex
med:pmid:27925507:sec:introduction:sent:6:enalapril:46-50,med:pmid:27925507,med:pmid:27925507:sec:introduction:sent:6,enalapril,ACEI,46,50,regex
med:pmid:27925507:sec:results:sent:7:enalapril:144-148,med:pmid:27925507,med:pmid:27925507:sec:results:sent:7,enalapril,ACEI,144,148,regex
med:pmid:27925507:sec:results:sent:9:enalapril:27-31,med:pmid:27925507,med:pmid:27925507:sec:results:sent:9,enalapril,ACEI,27,31,regex
med:pmid:27925507:sec:conclusion:sent:11:enalapril:152-157,med:pmid:27925507,med:pmid:27925507:sec:conclusion:sent:11,enalapril,ACEIs,152,157,regex
med:pmid:27844290:sec:abstract:sent:7:enalapril:10-19,med:pmid:27844290,med:pmid:27844290:sec:abstract:sent:7,enalapril,enalapril,10,19,regex
med:pmid:27844290:sec:abstract:sent:7:enalapril:24-37,med:pmid:27844290,med:pmid:27844290:sec:abstract:sent:7,enalapril,ACE inhibitor,24,37,regex
med:pmid:27844290:sec:abstract:sent:10:enalapril:112-126,med:pmid:27844290,med:pmid:27844290:sec:abstract:sent:10,enalapril,ACE inhibitors,112,126,regex
med:pmid:27837046:sec:title:sent:0:enalapril:37-50,med:pmid:27837046,med:pmid:27837046:sec:title:sent:0,enalapril,ACE Inhibitor,37,50,regex
med:pmid:27837046:sec:introduction:sent:1:enalapril:64-68,med:pmid:27837046,med:pmid:27837046:sec:introduction:sent:1,enalapril,ACEI,64,68,regex
med:pmid:27837046:sec:introduction:sent:5:enalapril:76-85,med:pmid:27837046,med:pmid:27837046:sec:introduction:sent:5,enalapril,enalapril,76,85,regex
med:pmid:27837046:sec:discussion:sent:8:enalapril:162-166,med:pmid:27837046,med:pmid:27837046:sec:discussion:sent:8,enalapril,ACEI,162,166,regex
med:pmid:27837046:sec:discussion:sent:10:enalapril:86-90,med:pmid:27837046,med:pmid:27837046:sec:discussion:sent:10,enalapril,ACEI,86,90,regex
med:pmid:27837046:sec:conclusion:sent:13:enalapril:76-85,med:pmid:27837046,med:pmid:27837046:sec:conclusion:sent:13,enalapril,enalapril,76,85,regex
med:pmid:27837046:sec:conclusion:sent:13:enalapril:222-226,med:pmid:27837046,med:pmid:27837046:sec:conclusion:sent:13,enalapril,ACEI,222,226,regex
med:pmid:28951664:sec:abstract:sent:5:enalapril:164-168,med:pmid:28951664,med:pmid:28951664:sec:abstract:sent:5,enalapril,ACEI,164,168,regex
med:pmid:28951664:sec:abstract:sent:5:enalapril:213-217,med:pmid:28951664,med:pmid:28951664:sec:abstract:sent:5,enalapril,ACEI,213,217,regex
med:pmid:28024961:sec:title:sent:0:sacubitril_valsartan:23-43,med:pmid:28024961,med:pmid:28024961:sec:title:sent:0,sacubitril_valsartan,sacubitril/valsartan,23,43,regex
med:pmid:28024961:sec:introduction:sent:2:sacubitril_valsartan:0-20,med:pmid:28024961,med:pmid:28024961:sec:introduction:sent:2,sacubitril_valsartan,Sacubitril/valsartan,0,20,regex
med:pmid:28024961:sec:introduction:sent:2:sacubitril_valsartan:50-91,med:pmid:28024961,med:pmid:28024961:sec:introduction:sent:2,sacubitril_valsartan,angiotensin receptor neprilysin inhibitor,50,91,regex
med:pmid:28024961:sec:introduction:sent:3:sacubitril_valsartan:76-80,med:pmid:28024961,med:pmid:28024961:sec:introduction:sent:3,sacubitril_valsartan,ARNI,76,80,regex
med:pmid:28024961:sec:introduction:sent:3:enalapril:86-99,med:pmid:28024961,med:pmid:28024961:sec:introduction:sent:3,enalapril,ACE inhibitor,86,99,regex
med:pmid:28024961:sec:introduction:sent:6:enalapril:116-125,med:pmid:28024961,med:pmid:28024961:sec:introduction:sent:6,enalapril,enalapril,116,125,regex
med:pmid:28024961:sec:introduction:sent:6:enalapril:210-219,med:pmid:28024961,med:pmid:28024961:sec:introduction:sent:6,enalapril,enalapril,210,219,regex
med:pmid:28587583:sec:abstract:sent:1:sacubitril_valsartan:22-42,med:pmid:28587583,med:pmid:28587583:sec:abstract:sent:1,sacubitril_valsartan,sacubitril/valsartan,22,42,regex
med:pmid:28587583:sec:abstract:sent:3:sacubitril_valsartan:55-75,med:pmid:28587583,med:pmid:28587583:sec:abstract:sent:3,sacubitril_valsartan,sacubitril/valsartan,55,75,regex
med:pmid:27913306:sec:title:sent:0:enalapril:44-57,med:pmid:27913306,med:pmid:27913306:sec:title:sent:0,enalapril,ACE inhibitor,44,57,regex
med:pmid:27913306:sec:introduction:sent:2:enalapril:286-299,med:pmid:27913306,med:pmid:27913306:sec:introduction:sent:2,enalapril,ACE inhibitor,286,299,regex
med:pmid:27913306:sec:introduction:sent:2:enalapril:352-365,med:pmid:27913306,med:pmid:27913306:sec:introduction:sent:2,enalapril,ACE inhibitor,352,365,regex
med:pmid:27913306:sec:introduction:sent:2:enalapril:450-463,med:pmid:27913306,med:pmid:27913306:sec:introduction:sent:2,enalapril,ACE inhibitor,450,463,regex
med:pmid:27913306:sec:introduction:sent:2:enalapril:502-515,med:pmid:27913306,med:pmid:27913306:sec:introduction:sent:2,enalapril,ACE inhibitor,502,515,regex
med:pmid:27913306:sec:conclusion:sent:10:enalapril:171-184,med:pmid:27913306,med:pmid:27913306:sec:conclusion:sent:10,enalapril,ACE inhibitor,171,184,regex
med:pmid:27482986:sec:title:sent:0:enalapril:40-79,med:pmid:27482986,med:pmid:27482986:sec:title:sent:0,enalapril,angiotensin converting enzyme inhibitor,40,79,regex
med:pmid:27885499:sec:abstract:sent:2:enalapril:96-135,med:pmid:27885499,med:pmid:27885499:sec:abstract:sent:2,enalapril,angiotensin converting enzyme inhibitor,96,135,regex
med:pmid:27885499:sec:abstract:sent:10:enalapril:77-116,med:pmid:27885499,med:pmid:27885499:sec:abstract:sent:10,enalapril,angiotensin converting enzyme inhibitor,77,116,regex
med:pmid:27550396:sec:title:sent:0:enalapril:100-109,med:pmid:27550396,med:pmid:27550396:sec:title:sent:0,enalapril,enalapril,100,109,regex
med:pmid:27550396:sec:abstract:sent:1:enalapril:63-72,med:pmid:27550396,med:pmid:27550396:sec:abstract:sent:1,enalapril,enalapril,63,72,regex
med:pmid:28648436:sec:abstract:sent:3:enalapril:50-90,med:pmid:28648436,med:pmid:28648436:sec:abstract:sent:3,enalapril,angiotensin converting enzyme inhibitors,50,90,regex
med:pmid:28648436:sec:abstract:sent:3:enalapril:92-96,med:pmid:28648436,med:pmid:28648436:sec:abstract:sent:3,enalapril,ACEI,92,96,regex
med:pmid:28648422:sec:abstract:sent:3:enalapril:132-171,med:pmid:28648422,med:pmid:28648422:sec:abstract:sent:3,enalapril,angiotensin converting enzyme inhibitor,132,171,regex
med:pmid:27874252:sec:conclusion:sent:7:enalapril:123-162,med:pmid:27874252,med:pmid:27874252:sec:conclusion:sent:7,enalapril,angiotensin converting enzyme inhibitor,123,162,regex
med:pmid:27853163:sec:title:sent:0:sacubitril_valsartan:43-63,med:pmid:27853163,med:pmid:27853163:sec:title:sent:0,sacubitril_valsartan,Sacubitril/valsartan,43,63,regex
med:pmid:27853163:sec:abstract:sent:1:sacubitril_valsartan:0-20,med:pmid:27853163,med:pmid:27853163:sec:abstract:sent:1,sacubitril_valsartan,Sacubitril/valsartan,0,20,regex
med:pmid:27853163:sec:abstract:sent:2:sacubitril_valsartan:123-143,med:pmid:27853163,med:pmid:27853163:sec:abstract:sent:2,sacubitril_valsartan,sacubitril/valsartan,123,143,regex
med:pmid:27853163:sec:abstract:sent:3:sacubitril_valsartan:127-147,med:pmid:27853163,med:pmid:27853163:sec:abstract:sent:3,sacubitril_valsartan,sacubitril/valsartan,127,147,regex
med:pmid:27853163:sec:abstract:sent:4:sacubitril_valsartan:4-24,med:pmid:27853163,med:pmid:27853163:sec:abstract:sent:4,sacubitril_valsartan,sacubitril/valsartan,4,24,regex
med:pmid:27853163:sec:abstract:sent:11:sacubitril_valsartan:4-24,med:pmid:27853163,med:pmid:27853163:sec:abstract:sent:11,sacubitril_valsartan,sacubitril/valsartan,4,24,regex
med:pmid:27853163:sec:abstract:sent:13:sacubitril_valsartan:17-37,med:pmid:27853163,med:pmid:27853163:sec:abstract:sent:13,sacubitril_valsartan,sacubitril/valsartan,17,37,regex
med:pmid:27488342:sec:title:sent:0:enalapril:71-80,med:pmid:27488342,med:pmid:27488342:sec:title:sent:0,enalapril,Enalapril,71,80,regex
med:pmid:27488342:sec:title:sent:0:enalapril:71-88,med:pmid:27488342,med:pmid:27488342:sec:title:sent:0,enalapril,Enalapril Maleate,71,88,regex
med:pmid:27488342:sec:abstract:sent:1:enalapril:30-39,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:1,enalapril,enalapril,30,39,regex
med:pmid:27488342:sec:abstract:sent:1:enalapril:30-47,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:1,enalapril,enalapril maleate,30,47,regex
med:pmid:27488342:sec:abstract:sent:3:enalapril:148-157,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:3,enalapril,enalapril,148,157,regex
med:pmid:27488342:sec:abstract:sent:3:enalapril:148-165,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:3,enalapril,enalapril maleate,148,165,regex
med:pmid:27488342:sec:abstract:sent:5:enalapril:94-103,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:5,enalapril,enalapril,94,103,regex
med:pmid:27488342:sec:abstract:sent:5:enalapril:94-111,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:5,enalapril,enalapril maleate,94,111,regex
med:pmid:27488342:sec:abstract:sent:6:enalapril:17-26,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:6,enalapril,enalapril,17,26,regex
med:pmid:27488342:sec:abstract:sent:6:enalapril:17-34,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:6,enalapril,enalapril maleate,17,34,regex
med:pmid:27488342:sec:abstract:sent:6:enalapril:171-180,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:6,enalapril,enalapril,171,180,regex
med:pmid:27488342:sec:abstract:sent:6:enalapril:171-188,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:6,enalapril,enalapril maleate,171,188,regex
med:pmid:27488342:sec:abstract:sent:8:enalapril:155-164,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:8,enalapril,enalapril,155,164,regex
med:pmid:27488342:sec:abstract:sent:8:enalapril:155-172,med:pmid:27488342,med:pmid:27488342:sec:abstract:sent:8,enalapril,enalapril maleate,155,172,regex
med:pmid:27485363:sec:abstract:sent:1:enalapril:347-352,med:pmid:27485363,med:pmid:27485363:sec:abstract:sent:1,enalapril,ACEIs,347,352,regex
med:pmid:27485363:sec:abstract:sent:3:enalapril:388-392,med:pmid:27485363,med:pmid:27485363:sec:abstract:sent:3,enalapril,ACEI,388,392,regex
med:pmid:28169115:sec:methods:sent:3:enalapril:62-66,med:pmid:28169115,med:pmid:28169115:sec:methods:sent:3,enalapril,ACEI,62,66,regex
med:pmid:28169115:sec:results:sent:5:enalapril:135-139,med:pmid:28169115,med:pmid:28169115:sec:results:sent:5,enalapril,ACEI,135,139,regex
med:pmid:28169115:sec:results:sent:5:enalapril:195-199,med:pmid:28169115,med:pmid:28169115:sec:results:sent:5,enalapril,ACEI,195,199,regex
med:pmid:28169115:sec:results:sent:6:enalapril:39-43,med:pmid:28169115,med:pmid:28169115:sec:results:sent:6,enalapril,ACEI,39,43,regex
med:pmid:28169115:sec:results:sent:7:enalapril:29-33,med:pmid:28169115,med:pmid:28169115:sec:results:sent:7,enalapril,ACEI,29,33,regex
med:pmid:28169115:sec:conclusion:sent:8:enalapril:52-56,med:pmid:28169115,med:pmid:28169115:sec:conclusion:sent:8,enalapril,ACEI,52,56,regex
med:pmid:28040266:sec:abstract:sent:7:enalapril:60-69,med:pmid:28040266,med:pmid:28040266:sec:abstract:sent:7,enalapril,enalapril,60,69,regex
med:pmid:28025096:sec:title:sent:0:enalapril:91-100,med:pmid:28025096,med:pmid:28025096:sec:title:sent:0,enalapril,enalapril,91,100,regex
med:pmid:28025096:sec:abstract:sent:1:enalapril:37-46,med:pmid:28025096,med:pmid:28025096:sec:abstract:sent:1,enalapril,enalapril,37,46,regex
med:pmid:28025096:sec:abstract:sent:3:enalapril:87-96,med:pmid:28025096,med:pmid:28025096:sec:abstract:sent:3,enalapril,enalapril,87,96,regex
med:pmid:28025096:sec:abstract:sent:7:enalapril:28-37,med:pmid:28025096,med:pmid:28025096:sec:abstract:sent:7,enalapril,enalapril,28,37,regex
med:pmid:27908822:sec:results:sent:8:enalapril:186-199,med:pmid:27908822,med:pmid:27908822:sec:results:sent:8,enalapril,ACE inhibitor,186,199,regex
med:pmid:27889699:sec:introduction:sent:2:enalapril:37-51,med:pmid:27889699,med:pmid:27889699:sec:introduction:sent:2,enalapril,ACE inhibitors,37,51,regex
med:pmid:27889699:sec:introduction:sent:2:enalapril:168-181,med:pmid:27889699,med:pmid:27889699:sec:introduction:sent:2,enalapril,ACE inhibitor,168,181,regex
med:pmid:27889699:sec:introduction:sent:2:enalapril:362-376,med:pmid:27889699,med:pmid:27889699:sec:introduction:sent:2,enalapril,ACE inhibitors,362,376,regex
med:pmid:27889699:sec:conclusion:sent:7:enalapril:299-312,med:pmid:27889699,med:pmid:27889699:sec:conclusion:sent:7,enalapril,ACE inhibitor,299,312,regex
med:pmid:27546817:sec:abstract:sent:2:enalapril:296-335,med:pmid:27546817,med:pmid:27546817:sec:abstract:sent:2,enalapril,angiotensin converting enzyme inhibitor,296,335,regex
med:pmid:27485007:sec:introduction:sent:1:enalapril:65-69,med:pmid:27485007,med:pmid:27485007:sec:introduction:sent:1,enalapril,ACEI,65,69,regex
med:pmid:27485007:sec:methods:sent:2:enalapril:75-79,med:pmid:27485007,med:pmid:27485007:sec:methods:sent:2,enalapril,ACEI,75,79,regex
med:pmid:27485007:sec:methods:sent:3:enalapril:42-46,med:pmid:27485007,med:pmid:27485007:sec:methods:sent:3,enalapril,ACEI,42,46,regex
med:pmid:27485007:sec:methods:sent:4:enalapril:35-39,med:pmid:27485007,med:pmid:27485007:sec:methods:sent:4,enalapril,ACEI,35,39,regex
med:pmid:27485007:sec:conclusion:sent:7:enalapril:43-47,med:pmid:27485007,med:pmid:27485007:sec:conclusion:sent:7,enalapril,ACEI,43,47,regex
med:pmid:27485007:sec:conclusion:sent:7:enalapril:310-315,med:pmid:27485007,med:pmid:27485007:sec:conclusion:sent:7,enalapril,ACEIs,310,315,regex
med:pmid:27038455:sec:conclusion:sent:9:enalapril:129-168,med:pmid:27038455,med:pmid:27038455:sec:conclusion:sent:9,enalapril,angiotensin converting enzyme inhibitor,129,168,regex
med:pmid:27038455:sec:conclusion:sent:9:enalapril:170-174,med:pmid:27038455,med:pmid:27038455:sec:conclusion:sent:9,enalapril,ACEI,170,174,regex
med:pmid:27038455:sec:conclusion:sent:10:enalapril:67-71,med:pmid:27038455,med:pmid:27038455:sec:conclusion:sent:10,enalapril,ACEI,67,71,regex
med:pmid:28367520:sec:introduction:sent:2:enalapril:96-135,med:pmid:28367520,med:pmid:28367520:sec:introduction:sent:2,enalapril,angiotensin converting enzyme inhibitor,96,135,regex
