sentence_id,narrative_type,narrative_subtype,product_a,product_b,sentence_text,section,publication_date,narrative_confidence,is_correct
med:pmid:41335448:sec:conclusion:sent:13,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"In patients with HF with reduced ejection fraction due to Chagas disease, there was no significant difference in clinical outcomes between sacubitril/valsartan and enalapril, but there was a greater reduction in NT-proBNP at 12 weeks in patients in the sacubitril/valsartan group.",conclusion,2026-01-01,0.6,
med:pmid:41335448:sec:results:sent:12,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"The resulting stratified win ratio was 1.52 (95% CI, 1.28-1.82; P < .001) for sacubitril/valsartan compared with enalapril.",results,2026-01-01,0.6,
med:pmid:41016569:sec:results:sent:4,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,The ARNI group demonstrated significantly greater improvements in left ventricular end-diastolic diameter and relative wall thickness versus the ACEI/ARB group.,results,2025-09-26,0.6,
med:pmid:41079587:sec:conclusion:sent:13,comparative,comparative_safety,enalapril,sacubitril_valsartan,"Early sacubitril/valsartan use was associated with reduced 1-year AF risk vs. ACEI/ARB in AMI complicated by MR, suggesting a potential role in this population; prospective trials are needed to confirm causality.",conclusion,2025-09-26,0.9,
med:pmid:41079587:sec:results:sent:9,comparative,comparative_safety,enalapril,sacubitril_valsartan,"Despite a higher baseline risk profile in the Sacubitril/Valsartan group, the 1-year cumulative incidence of AF was lower than in the ACEI/ARB group (CIF 10.8% vs. 17.9%; Gray's test <i>P</i> = 0.002).",results,2025-09-26,0.9,
med:pmid:41296625:sec:conclusion:sent:10,positioning,combination,enalapril,sacubitril_valsartan,ATTRwt-CA patients on beta-blockers or ACEi/ARB/ARNI at diagnosis did not have a shorter survival.,conclusion,2025-09-26,0.85,
med:pmid:41296625:sec:results:sent:6,positioning,combination,enalapril,sacubitril_valsartan,"Patients on beta-blockers had more often NYHA class III/IV, a greater burden of comorbidities, and lower LVEF, and those on ACEi/ARB/ARNI had more comorbidities.",results,2025-09-26,0.85,
med:pmid:41070303:sec:results:sent:8,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"After treatment, levels of LVEDd, LVEF, NT proBNP, sSt2 and MMP-9 in the LBBP & sacubitril/valsartan group were significantly improved compared to those in the LBBP & enalapril group (all P<0.05).",results,2025-09-01,0.6,
med:pmid:40849246:sec:results:sent:8,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"The results of the base cases of the three comparisons made showed that sacubitril/valsartan produced benefits in years of life gained and quality-adjusted life years compared to enalapril showing incremental cost-utility ratio below €20,000/QALY and that this ratio was better in scenarios starting sacubitril/valsartan in the hospital setting once decompensation was resolved.",results,2025-08-22,0.6,
med:pmid:40873622:sec:conclusion:sent:11,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,ARNI significantly reduced MEE compared with ACEI/ARB.,conclusion,2025-08-12,0.6,
