sentence_id,narrative_type,narrative_subtype,product_a,product_b,sentence_text,section,publication_date,narrative_confidence,is_correct
med:pmid:40255655:sec:results:sent:13,safety,safety_acknowledgment,enalapril,sacubitril_valsartan,"SHAP analysis revealed that elevated CRP, NLR, and age were associated with increased risk, while Beta blockers, ACEI/ARB/ARNI, and lower BNP values were associated with reduced risk.",results,2025-04-14,0.9,
med:pmid:39563094:sec:conclusion:sent:11,comparative,comparative_safety,enalapril,sacubitril_valsartan,"Sacubitril/valsartan may be more effective than enalapril in reducing the risk of death in patients not treated with a beta-blocker compared to those treated with a beta-blocker, but is effective regardless of beta-blocker use.",conclusion,2024-11-19,0.9,
med:pmid:40265590:sec:conclusion:sent:12,comparative,comparative_safety,enalapril,sacubitril_valsartan,"In PARADIGM-HF, sacubitril/valsartan, compared with enalapril, reduced the risk of HF hospitalizations, death from cardiovascular causes, and death from any cause similarly in women and men with HF with reduced ejection fraction.",conclusion,2025-04-23,0.9,
med:pmid:40319618:sec:conclusion:sent:13,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"At the cost-effectiveness threshold of RM55 426 per QALY, ARNI is cost-effective compared with ACEI for the heart failure with reduced ejection fraction population.",conclusion,2025-05-03,0.6,
med:pmid:40727001:sec:results:sent:9,positioning,combination,enalapril,sacubitril_valsartan,"LASSO regression showed that the key predictors included age, BNP, New York Heart Association (NYHA) class, LVEF, PLR, MLR, AF history, and ACEI/ARB/ARNI usage.",results,2025-07-24,0.85,
med:pmid:39284545:sec:results:sent:5,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"However, reduction in mean systolic blood pressure from baseline to study end did not significantly differ (sacubitril/valsartan: -2.2 mmHg vs enalapril: -1.3 mmHg; p = 0.6895).",results,2024-09-14,0.6,
med:pmid:41249923:sec:results:sent:12,positioning,combination,enalapril,sacubitril_valsartan,"Sensitivity analyses excluding one study showed significant improvements in ACEi/ARB/ARNI prescriptions (OR: 1.36, [95% CI: 1.10, 1.69]).",results,2025-11-17,0.85,
med:pmid:39687932:sec:results:sent:8,positioning,combination,enalapril,sacubitril_valsartan,"The proportion of patients who halted GDMT was 70.4%, 53.2%, 59.8% and 63.8% for MRA, beta-blockers, ACEI/ARB/ARNI and SGLT-2 inhibitors.",results,2024-12-17,0.85,
med:pmid:38811344:sec:results:sent:11,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"ARNI + BB + MRA + SGLT-2i (5.83%, 95% CI: 0.53% to 11.14%) and ARNI + BB + MRA (3.83%, 95% CI: 0.72% to 6.90%) were superior to the traditional golden triangle ACEI + BB + MRA in improving LVEF.",results,2024-05-28,0.6,
med:pmid:40542996:sec:results:sent:13,positioning,combination,enalapril,sacubitril_valsartan,"The highest incidence of HK was observed with the combination of angiotensin converting enzyme inhibitor (ACEi)/angiotensin ii receptor blockers (ARBs)/angiotensin receptor-neprilysin inhibitor (ARNi)+ mineralocorticoid receptor antagonists (MRAs) (24.4%), followed by the triple therapy ACEi/ARB/ARNi+ sodium glucose cotransporter-2 inhibitor (SGLT2i)+MRA (10.9%), and ACEi/ARB/ARNi + SGLT2i (2.2%).",results,2025-06-21,0.85,
