sentence_id,narrative_type,narrative_subtype,product_a,product_b,sentence_text,section,publication_date,narrative_confidence,is_correct
med:pmid:39264627:sec:results:sent:12,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Sacubitril/valsartan treatment was independently associated with shorter time to a 15% increase in eGFR (15 of 46 [32.6%] vs 46 of 83 [55.4%]; aHR, 2.13; 95% CI, 1.09-4.17) and kidney survival free from dialysis (11 of 23 [47.8%] vs 16 of 57 [28.1%]; aHR, 2.63; 95% CI, 1.15-5.88) compared with ACEI/ARB treatment.",results,3-9-2024,0.39999999999999997,TRUE
med:pmid:38084196:sec:results:sent:9,evidence,evidence_review,enalapril,sacubitril_valsartan,"In conclusion, our meta-analysis of nine studies underscores the superior clinical performance of sacubitril/valsartan compared to enalapril in managing patients with heart failure.",results,10-11-2023,0.7,TRUE
med:pmid:37861303:sec:results:sent:9,evidence,real_world,enalapril,sacubitril_valsartan,"At discharge, 92 patients (56%) were prescribed β-blockers, 28 (17%) were prescribed an ACE inhibitor, ARB or ARNI, and 50 (30%) were prescribed loop diuretics.",results,20-10-2023,0.7,TRUE
med:pmid:39661383:sec:results:sent:10,evidence,real_world,enalapril,sacubitril_valsartan,"ACEI or ARB prescription at discharge fell from 88.3% (2612 of 2957) to 45.9% (2033 of 4434) over the same period, whereas ACEI, ARB, or ARNI prescription increased from 71.1% (2639 of 3713) to 84.7% (3990 of 4711).",results,1-3-2025,0.7,TRUE
med:pmid:35360037:sec:results:sent:3,evidence,real_world,enalapril,sacubitril_valsartan,"Patients who had never been prescribed with an ARNI, angiotensin-converting enzyme inhibitor (ACEI), or angiotensin receptor blocker (ARB) were excluded.",results,8-3-2022,0.7,TRUE
med:pmid:40332281:sec:results:sent:10,evidence,real_world,enalapril,sacubitril_valsartan,"Only 21,2% were prescribed GDMT target doses of enalapril, losartan or ARNi and 52,3% of beta-blockers.",results,2-5-2025,0.7,TRUE
med:pmid:36304540:sec:results:sent:9,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Compared with ACEI/ARB, the use of ARNI can further reduce the total incidence of adverse cardiovascular events [RR = 0.72, 95%CI(0.62, 0.84), <i>P</i><0.0001] and the rate of HF rehospitalization [RR = 0.73, 95%CI(0.61, 0.86), <i>P</i> = 0.0002] in patients with acute myocardial infarction and heart failure; there was no significant difference in the incidence of cardiac death, recurrence of myocardial infarction, and malignant arrhythmia between the experimental group and the control group (<i>P</i> > 0.05).",results,11-10-2022,0.6,TRUE
med:pmid:40542996:sec:results:sent:13,evidence,real_world,enalapril,sacubitril_valsartan,"The highest incidence of HK was observed with the combination of angiotensin converting enzyme inhibitor (ACEi)/angiotensin ii receptor blockers (ARBs)/angiotensin receptor-neprilysin inhibitor (ARNi)+ mineralocorticoid receptor antagonists (MRAs) (24.4%), followed by the triple therapy ACEi/ARB/ARNi+ sodium glucose cotransporter-2 inhibitor (SGLT2i)+MRA (10.9%), and ACEi/ARB/ARNi + SGLT2i (2.2%).",results,21-6-2025,0.7,TRUE
med:pmid:40769236:sec:conclusion:sent:10,evidence,real_world,enalapril,sacubitril_valsartan,"Despite robust evidence supporting their efficacy, the use of statins, ACEIs, and ARNIs remains suboptimal in Colombia.",conclusion,5-8-2025,0.7,TRUE
med:pmid:35360037:sec:conclusion:sent:11,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Compared with ACEIs or ARBs, ARNIs were associated with comparable clinical and renal outcomes in patients with HFrEF and advanced CKD (eGFR ≤ 30 mL/min/1.73 m<sup>2</sup>).",conclusion,8-3-2022,0.6,TRUE
