doc_id,sentence_id,product_a,product_b,section,sentence_text,narrative_type,narrative_subtype,narrative_confidence,narrative_invariant_ok,narrative_invariant_reason
med:pmid:33725113,med:pmid:33725113:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"The use of triple HF therapy (ACEI/ARB/angiotensin receptor neprilysin inhibitor with β-blockers and MRA) was higher in the S/V groups than non-S/V group (48.2%, 48.2%, and 40.2% in rS/V, S/V, and non-S/V, respectively).",,,,,
med:pmid:34969175,med:pmid:34969175:sec:results:sent:10,enalapril,sacubitril_valsartan,results,"Compared with enalapril, sacubitril/valsartan reduced the risk of a ventricular arrhythmia (hazard ratio [HR] 0.76, 95% confidence interval [CI] 0.62-0.95; p = 0.015) and the composite arrhythmia outcome (HR 0.79, 95% CI 0.65-0.97; p = 0.025).",,,,,
med:pmid:34989105,med:pmid:34989105:sec:results:sent:4,enalapril,sacubitril_valsartan,results,"We assessed the effect of treatment (sacubitril/valsartan vs. enalapril or valsartan) on a composite of either ≥50% reduction in estimated glomerular filtration rate (eGFR), ESRD, or death from renal causes, in addition to changes in eGFR slope.",,,,,
med:pmid:34989105,med:pmid:34989105:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"The composite renal outcome occurred in 70 of 6594 patients (1.1%) in the sacubitril/valsartan group and in 123 of 6601 patients (1.9%) in the valsartan or enalapril group (hazard ratio 0.56, 95% confidence interval [CI] 0.42-0.75; p < 0.001).",,,,,
med:pmid:35022763,med:pmid:35022763:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"Overall, treatment with sacubitril/valsartan or omapatrilat showed a slightly lower risk of any renal event [OR 0.82 (0.7-0.97)] compared with treatment with an ACEi or ARB alone.",,,,,
med:pmid:35081164,med:pmid:35081164:sec:conclusion:sent:11,enalapril,sacubitril_valsartan,conclusion,Sacubitril/valsartan was similar to either enalapril or valsartan in preventing the occurrence of AF in patients with HF.,,,,,
med:pmid:35115085,med:pmid:35115085:sec:conclusion:sent:12,enalapril,sacubitril_valsartan,conclusion,"Study of Effects of Sacubitril/Valsartan vs. Enalapril on Aortic Stiffness in Patients With Mild to Moderate HF With Reduced Ejection Fraction [EVALUATE-HF]; NCT02874794) (Effects of Sacubitril/Valsartan Therapy on Biomarkers, Myocardial Remodeling and Outcomes [PROVE-HF]; NCT02887183).",,,,,
med:pmid:35282662,med:pmid:35282662:sec:results:sent:10,enalapril,sacubitril_valsartan,results,"Secondary outcomes occurred in 13 participants (20.3%) in the ARNI group and 22 participants (34.4%) in the enalapril group [hazard ratio (HR), 0.56; 95% CI: 0.28 to 1.12; P=0.102].",,,,,
med:pmid:35301107,med:pmid:35301107:sec:results:sent:6,enalapril,sacubitril_valsartan,results,"Among eligible patients, 33%, 25% and 55% were not prescribed ACEI/ARB/ARNI, beta-blocker, and MRA at discharge, respectively; 99% were not prescribed SGLT2i.",,,,,
med:pmid:35301107,med:pmid:35301107:sec:results:sent:8,enalapril,sacubitril_valsartan,results,"In-hospital rates of initiation/dose increase were 20% for ACEI/ARB, 4% for ARNI, 20% for beta-blocker, 22% for MRA, and < 1% for SGLT2i; corresponding rates of dose decrease/discontinuation were 11%, 2%, 9%, 5%, and < 1%, respectively.",,,,,
med:pmid:35332595,med:pmid:35332595:sec:results:sent:6,enalapril,sacubitril_valsartan,results,"In a sensitivity analysis considering the ARNI and non-ARNI subgroups of SGLT2i RCTs, the combination SGLT2i + ARNI + BB + MRA was associated with the lowest HR (0.28, 95% CrI 0.16-0.45 vs. 0.40, 95% CrI 0.24-0.60 for SGLT2i + BB + ACEi + MRA).",,,,,
med:pmid:35350535,med:pmid:35350535:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"Medical therapy significantly changed over the last decade in terms of higher use of angiotensin receptor blockers (ARBs), lower use of angiotensin-converting enzyme inhibitors (ACEIs), and the introduction of angiotensin receptor-neprilysin inhibitors (ARNIs).",,,,,
med:pmid:35360037,med:pmid:35360037:sec:results:sent:4,enalapril,sacubitril_valsartan,results,"We used inverse probability of treatment weighting (IPTW) to balance baseline covariates, and compared outcomes between ARNI and ACEI/ARB users.",,,,,
med:pmid:35360037,med:pmid:35360037:sec:results:sent:5,enalapril,sacubitril_valsartan,results,There were 206 patients in the ARNI group and 833 patients in the ACEI/ARB group.,,,,,
med:pmid:35360037,med:pmid:35360037:sec:results:sent:8,enalapril,sacubitril_valsartan,results,"After IPTW adjustment, the mean follow-up durations were 7.3 months and 6.6 months in the ARNI and ACEI/ARB groups, respectively.",,,,,
med:pmid:35404555,med:pmid:35404555:sec:results:sent:6,enalapril,sacubitril_valsartan,results,"Of the 29 studies, 11 examined BBs; 9, MRAs; 6, ARNis; 2, ACEis; and 1, ARBs.",,,,,
med:pmid:35483448,med:pmid:35483448:sec:conclusion:sent:12,enalapril,sacubitril_valsartan,conclusion,The ARNI study group showed better safety and efficacy outcomes at the end of 6 months follow-up compared to ACEI group.,,,,,
med:pmid:35483448,med:pmid:35483448:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"A total of 200 patients were included in the present study, 100 each in ARNI and ACEI group.",,,,,
med:pmid:35483448,med:pmid:35483448:sec:results:sent:8,enalapril,sacubitril_valsartan,results,"The mean age of the population was 61.2 ± 8.4 years and 62.6 ± 8.6 years in ARNI group and ACEI group, respectively.",,,,,
med:pmid:35483448,med:pmid:35483448:sec:results:sent:9,enalapril,sacubitril_valsartan,results,The mean maximum tolerated dose by population in ARNI group was 203.6 mg and 8.9 mg in ACEI group.,,,,,
med:pmid:35525261,med:pmid:35525261:sec:results:sent:4,enalapril,sacubitril_valsartan,results,"We then used risk reductions from the SOLVD, PARADIGM-HF and PIONEER-HF trials to estimate the benefits of ACEi/ARB and sacubitril/valsartan.",,,,,
med:pmid:35525261,med:pmid:35525261:sec:results:sent:8,enalapril,sacubitril_valsartan,results,The benefit of sacubitril/valsartan over ACEi/ARB did not decrease with increasing age - the number needed to treat among 66 to 74-year-old patients was 84 and among 85+ year-old patients was 67.,,,,,
med:pmid:35546745,med:pmid:35546745:sec:results:sent:8,enalapril,sacubitril_valsartan,results,"The patients taking ACE inhibitors and mTOR inhibitors, DPP4 inhibitors, alteplase, or sacubitril/valsartan concurrently may be at increased risk of developing angioedema.",,,,,
med:pmid:35851740,med:pmid:35851740:sec:results:sent:6,enalapril,sacubitril_valsartan,results,"The proportions receiving a prescription for angiotensin-converting enzyme inhibitors/angiotensin receptor blockers/angiotensin receptor-neprilysin inhibitors (ACEi/ARB/ARNi) were 96%, 92%, 86%, and 68%, for estimated glomerular filtration rate (eGFR) ≥60, 45-59, 30-44, and <30 ml/min/1.73 m<sup>2</sup> , respectively; for beta-blockers 94%, 93%, 92%, and 92%, for mineralocorticoid receptor antagonists (MRAs) 45%, 44%, 37%, 24%; and for triple therapy (combination of ACEi/ARB/ARNi + beta-blockers + MRA) 38%, 35%, 28%, and 15%.",,,,,
med:pmid:35851740,med:pmid:35851740:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"Patients with CKD were less likely to initiate these medications, and less likely to adhere to and persist on ACEi/ARB/ARNi, MRA, and triple therapy.",,,,,
med:pmid:35902033,med:pmid:35902033:sec:conclusion:sent:11,enalapril,sacubitril_valsartan,conclusion,"In this population-based study, most patients with newly diagnosed HFrEF received beta-blockers and ACEis/ARBs/ARNIs.",,,,,
med:pmid:35902033,med:pmid:35902033:sec:results:sent:10,enalapril,sacubitril_valsartan,results,"In models accounting for the role of an HF clinic in initiation of these medications, being seen in an HF clinic was independently associated with initiation of new GDMT across all medication classes, with a hazard ratio (95% CI) of 1.54 (1.15-2.06) for any beta-blocker, 2.49 (1.95-3.20) for HF beta-blockers, 1.97 (1.46-2.65) for ACEis/ARBs/ARNIs, and 2.14 (1.49-3.08) for MRAs.",,,,,
